ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,GOVIL06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,EDUC,UNION4,CHILD,LATINO,BUSH4,COUNTACC,IRAQWAR,IMPCORR,FAVHAST,OBAMAPRS,STECIL,STEC2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,COLLEDUC,HSEDUC,BUSH,IRAQWAR2,COUNT2,UNIONHH,UNIONVOT,UNIONMEM,MOMS,PARENTS,QRACEAI,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
11667.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.98463386297226,Rod Blagojevich (Dem),Male,White,60-64,Democratic,Moderate,$100k-$150k,,College graduate,No one does,No,No,,Very confident,Strongly approve,,,,,,White male,White male,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,,,College graduate,At least some college,,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,Men without children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
11799.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.909831404685974,Rod Blagojevich (Dem),Male,White,50-59,Democratic,Moderate,$200k or more,,Postgraduate study,No one does,Yes,No,,Somewhat confident,Strongly disapprove,,,,,,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,,,College graduate,At least some college,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Men with children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
11922.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.09299874305725,Judy Baar Topinka (Rep),Male,White,50-59,Republican,Moderate,$75k-$100k,,Postgraduate study,No one does,Yes,,,Somewhat confident,Somewhat disapprove,,,,,,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,,,College graduate,At least some college,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Men with children,White,,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
12041.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.866179227828979,Rich Whitney (Green),Male,White,65-74,Independent,Moderate,$50k-$75k,,College graduate,No one does,No,No,,Somewhat confident,Strongly disapprove,,,,,,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,$50k or more,Less than $100k,,,College graduate,At least some college,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),All others,Men without children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
12170.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.842446386814117,Rod Blagojevich (Dem),Female,White,50-59,Independent,Liberal,$150k-$200k,,Postgraduate study,No one does,No,No,,Not at all confident,Strongly disapprove,,,,,,White female,White female,45-59,50-64,18-64,30-59,Independent/Something else,$50k or more,$100k or more,,,College graduate,At least some college,,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),All others, Women without children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
12291.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.01204776763916,Judy Baar Topinka (Rep),Female,White,30-39,Republican,Moderate,$100k-$150k,,Postgraduate study,"Yes, I do",Yes,No,,Somewhat confident,Somewhat disapprove,,,,,,White female,White female,30-44,30-39,18-64,30-59,Republican,$50k or more,$100k or more,,,College graduate,At least some college,,Disapprove,Very/Somewhat confident,Yes,Yes,I am (voter is member),Women with children,Women with children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
12413.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.01204776763916,Judy Baar Topinka (Rep),Female,White,40-44,Independent,Moderate,$100k-$150k,,Postgraduate study,No one does,Yes,No,,Very confident,Somewhat disapprove,,,,,,White female,White female,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,,,College graduate,At least some college,,Disapprove,Very/Somewhat confident,No,No,No (no union member in household),Women with children,Women with children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
12534.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,1.01204776763916,Judy Baar Topinka (Rep),Female,White,45-49,Republican,Moderate,$50k-$75k,,Some college or associate degree,No one does,No,No,,Somewhat confident,Somewhat approve,,,,,,White female,White female,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,,,Did not graduate from college,At least some college,,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others, Women without children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
12623.0, Illinois,58.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.93429708480835,Other,Male,White,30-39,Republican,Conservative,$30k-$50k,Protestant,Some college or associate degree,No one does,Yes,No,Strongly approve,Very confident,Strongly approve,Extremely important,Favorable,No,Not so good,Not so good/Poor,White male,White male,30-44,30-39,18-64,30-59,Republican,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Did not graduate from college,At least some college,Approve,Approve,Very/Somewhat confident,No,No,No (no union member in household),All others,Men with children,White,English,Rural,Small Cities/Rural,17.0,Competitive,North,Extremely Low Density Rural,Rural,Rural,Very downscale,62355.0
12641.0, Illinois,127.0,National questionnaire,Version 2,Call 1,Complete,Election day exit poll,0.842446386814117,Rod Blagojevich (Dem),Female,White,30-39,Democratic,Liberal,$200k or more,,College graduate,No one does,Yes,No,,Not very confident,Strongly disapprove,,,,,,White female,White female,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,,,College graduate,At least some college,,Disapprove,Not very/Not at all confident,No,No,No (no union member in household),Women with children,Women with children,White,English,Suburbs,Suburbs,6.0,Competitive,Cook Suburbs,High Density Urban,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60056.0
