ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENME06,GOVME06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,BUSH4,IRAQWAR,GUNOWNER,STECME,STEC2,FORBUSHS,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,BUSH,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
12339.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.877011179924011,Jean Hay Bright (Dem),John Baldacci (Dem),Female,White,45-49,Democratic,Liberal,$75k-$100k,Something else,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,To express opposition to George W Bush,White female,White female,45-59,40-49,18-64,30-59,Democratic,$50k or more,Less than $100k,Something else,White Something else,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12420.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.922331213951111,Jean Hay Bright (Dem),John Baldacci (Dem),Female,White,75 or over,Democratic,Liberal,$75k-$100k,Catholic,Strongly disapprove,Strongly disapprove,No,Good,Excellent/Good,To express opposition to George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12490.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.716945171356201,Jean Hay Bright (Dem),Barbara Merrill (Independent),Female,White,30-39,Democratic,Liberal,$50k-$75k,Catholic,Strongly disapprove,Somewhat disapprove,Yes,Poor,Not so good/Poor,To express opposition to George W Bush,White female,White female,30-44,30-39,18-64,30-59,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12551.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.997617363929749,Jean Hay Bright (Dem),John Baldacci (Dem),Male,White,50-59,Democratic,Conservative,Under $15k,Protestant,Somewhat approve,Strongly approve,No,Good,Excellent/Good,George W Bush was not a factor,White male,White male,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12603.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.789235949516296,Jean Hay Bright (Dem),Patricia LaMarche (Green),Male,White,75 or over,Democratic,Liberal,Under $15k,Protestant,Strongly disapprove,Strongly disapprove,Yes,Not so good,Not so good/Poor,To express support for George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12652.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.997617363929749,Jean Hay Bright (Dem),John Baldacci (Dem),Male,White,50-59,Democratic,Conservative,$50k-$75k,None,Strongly disapprove,Strongly disapprove,No,Not so good,Not so good/Poor,To express opposition to George W Bush,White male,White male,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,None,White None,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12698.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.922331213951111,Jean Hay Bright (Dem),John Baldacci (Dem),Female,White,60-64,Democratic,Liberal,$100k-$150k,None,Strongly disapprove,Strongly disapprove,Yes,Not so good,Not so good/Poor,George W Bush was not a factor,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,$50k or more,$100k or more,None,White None,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12751.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.994966149330139,Olympia Snowe (Rep),Barbara Merrill (Independent),Female,White,50-59,Democratic,Moderate,$200k or more,Catholic,Strongly disapprove,Strongly disapprove,No,Not so good,Not so good/Poor,George W Bush was not a factor,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12797.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05439758300781,Olympia Snowe (Rep),Chandler Woodcock (Rep),Male,White,75 or over,Republican,Conservative,$50k-$75k,Protestant,Somewhat approve,Somewhat approve,No,Not so good,Not so good/Poor,To express support for George W Bush,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12852.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.926927030086517,Olympia Snowe (Rep),Chandler Woodcock (Rep),Female,White,65-74,Republican,Conservative,,Catholic,Somewhat approve,Somewhat approve,No,Not so good,Not so good/Poor,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Republican,,,Catholic,White Catholic,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12929.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.926927030086517,Olympia Snowe (Rep),Chandler Woodcock (Rep),Female,White,65-74,Independent,Liberal,$15k-$30k,Protestant,Strongly approve,Strongly approve,Yes,Good,Excellent/Good,George W Bush was not a factor,White female,White female,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
12979.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.926927030086517,Olympia Snowe (Rep),Chandler Woodcock (Rep),Female,White,60-64,Independent,Moderate,$75k-$100k,Something else,Strongly disapprove,Somewhat disapprove,No,Poor,Not so good/Poor,To express opposition to George W Bush,White female,White female,60 or over,50-64,18-64,60 or over,Independent/Something else,$50k or more,Less than $100k,Something else,White Something else,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
13029.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.926927030086517,Olympia Snowe (Rep),Chandler Woodcock (Rep),Female,White,60-64,Republican,Conservative,$50k-$75k,Protestant,Strongly approve,Strongly approve,No,Not so good,Not so good/Poor,To express support for George W Bush,White female,White female,60 or over,50-64,18-64,60 or over,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
13083.0,Maine,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.66054755449295,,Barbara Merrill (Independent),Female,White,75 or over,Democratic,Conservative,Under $15k,Catholic,Strongly disapprove,Strongly disapprove,No,Poor,Not so good/Poor,To express opposition to George W Bush,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Suburb,Rural,Rural,Downscale,4005.0
13089.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.45602262020111,Olympia Snowe (Rep),John Baldacci (Dem),Male,White,75 or over,Republican,Moderate,$75k-$100k,Something else,Somewhat approve,Strongly disapprove,Yes,Good,Excellent/Good,George W Bush was not a factor,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,$50k or more,Less than $100k,Something else,White Something else,Approve,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
13130.0,Maine,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.749829530715942,Olympia Snowe (Rep),Barbara Merrill (Independent),Female,White,30-39,Something else,Moderate,$50k-$75k,Catholic,Somewhat disapprove,Somewhat approve,No,Good,Excellent/Good,To express opposition to George W Bush,White female,White female,30-44,30-39,18-64,30-59,Independent/Something else,$50k or more,Less than $100k,Catholic,White Catholic,Disapprove,Approve,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Suburb,Rural,Rural,Downscale,4005.0
13136.0,Maine,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.00258827209473,Olympia Snowe (Rep),Chandler Woodcock (Rep),Male,White,50-59,Republican,Moderate,$100k-$150k,Protestant,Strongly disapprove,Strongly disapprove,Yes,Not so good,Not so good/Poor,George W Bush was not a factor,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Low Density Rural,Rural,Rural,Upscale,4843.0
13179.0,Maine,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.09729242324829,Olympia Snowe (Rep),John Baldacci (Dem),Male,White,65-74,Democratic,Liberal,$50k-$75k,Catholic,Somewhat disapprove,Somewhat disapprove,No,Good,Excellent/Good,No answer,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Catholic,White Catholic,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Democratic,Congressional District 1,Suburb,Rural,Rural,Downscale,4005.0
