ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENNE06,GOVNE06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,BRNAGAIN,LATINO,BUSH4,IRAQWAR,HAGELPRS,FORBUSHS,IMMDEPORT,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,WHTEVANG,BUSH,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
18191.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14332175254822,Ben Nelson (Dem),Dave Heineman (Rep),Female,White,40-44,Republican,Conservative,$75k-$100k,No,No,Somewhat disapprove,Somewhat disapprove,Yes,To express opposition to George W Bush,Offered a chance to apply for legal status,White female,White female,30-44,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,All others,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18232.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14332175254822,Ben Nelson (Dem),Dave Heineman (Rep),Female,White,50-59,Republican,Liberal,$50k-$75k,No,No,Somewhat approve,Somewhat approve,No,George W Bush was not a factor,Deported to the country they came from,White female,White female,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,All others,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18260.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.27748429775238,Pete Ricketts (Rep),Dave Heineman (Rep),Male,White,45-49,Republican,Moderate,$100k-$150k,No,No,Strongly approve,Somewhat approve,No,To express support for George W Bush,Offered a chance to apply for legal status,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,All others,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18303.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3460088968277,Ben Nelson (Dem),Dave Heineman (Rep),Male,White,75 or over,Democratic,Moderate,$30k-$50k,No,No,Strongly disapprove,Strongly disapprove,No Answer,To express opposition to George W Bush,Offered a chance to apply for legal status,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,All others,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18336.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3460088968277,Ben Nelson (Dem),Dave Heineman (Rep),Male,White,75 or over,Something else,Conservative,$15k-$30k,Yes,No,Somewhat disapprove,Somewhat disapprove,Yes,George W Bush was not a factor,Deported to the country they came from,White male,White male,60 or over,65 or over,65 or over,60 or over,Independent/Something else,Less than $50k,Less than $100k,White Evangelical Born Again Christians,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18378.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.26885485649109,Ben Nelson (Dem),Dave Heineman (Rep),Female,White,60-64,Democratic,Liberal,,Yes,No,Somewhat disapprove,Strongly disapprove,No,George W Bush was not a factor,Offered a chance to apply for legal status,White female,White female,60 or over,50-64,18-64,60 or over,Democratic,,,White Evangelical Born Again Christians,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18419.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12999296188354,Pete Ricketts (Rep),,Male,White,75 or over,Republican,Moderate,$15k-$30k,No,No,Somewhat approve,Somewhat approve,No Answer,To express support for George W Bush,No answer,White male,White male,60 or over,65 or over,65 or over,60 or over,Republican,Less than $50k,Less than $100k,All others,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18462.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.14332175254822,Ben Nelson (Dem),Dave Heineman (Rep),Female,White,50-59,Democratic,Moderate,$100k-$150k,No,No,Strongly disapprove,Strongly disapprove,No,To express opposition to George W Bush,Offered a chance to apply for legal status,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,All others,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18517.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.27748429775238,Pete Ricketts (Rep),Dave Heineman (Rep),Male,White,30-39,Republican,Moderate,$50k-$75k,No,No,Somewhat approve,Somewhat disapprove,No,George W Bush was not a factor,Deported to the country they came from,White male,White male,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,All others,Approve,Disapprove,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18572.0, Nebraska,10.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.3364816904068,Pete Ricketts (Rep),Dave Heineman (Rep),Female,White,65-74,Democratic,Conservative,$30k-$50k,No,No,Somewhat approve,Somewhat approve,No Answer,George W Bush was not a factor,Deported to the country they came from,White female,White female,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,All others,Approve,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,Congressional District 1,Extremely Low Density Rural,Rural,Rural,Very downscale,68788.0
18604.0, Nebraska,30.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.731095790863037,Ben Nelson (Dem),David Hahn (Dem),Female,Black,18-24,Independent,Moderate,$50k-$75k,No,No,Somewhat disapprove,Strongly disapprove,No,To express opposition to George W Bush,Offered a chance to apply for legal status,Non-white female,Non-white,18-29,18-24,18-64,18-29,Independent/Something else,$50k or more,Less than $100k,All others,Disapprove,Disapprove,Black,"Cities 50,000-500,000","Cities over 50,000",2.0,Strong Republican,Congressional District 2,Suburb,Urban,Urban Core,Very upscale,68164.0
