ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,SENVA06,VADEFMAR06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,ATTEND,BRNAGAIN,EDUC,BUSH4,IRAQTRP,IRAQWAR,IMPIRAQS,IMPTERRS,IMPECONS,IMPTAXESS,IMPVALUES,ALLENPRS,RESPALLN,RESPWEBB,VETVOTER,VOTE2004,FORBUSHS,IMMDEPORT,TIMESEN,TIMESEN3D,TIMESENWK,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTBRN,WHTEVANG,ATTEND2,ATTREL,COLLEDUC,HSEDUC,BUSH,IRAQTRP2,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
8404.0, Virginia,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.954943418502808,Jim Webb (Dem),No,Female,Asian,50-59,Democratic,Liberal,$200k or more,Muslim,A few time a year,No,Postgraduate study,Strongly disapprove,Withdraw all troops,No answer,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,No,No,No Answer,No,John Kerry (Dem),To express opposition to George W Bush,Offered a chance to apply for legal status,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white female,Non-white,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Something else,Non-White,All others,All others,Ocassionally,All others,College graduate,At least some college,Disapprove,Withdraw all or some troops,No answer,Asian,Suburbs,Suburbs,10.0,Strong Republican,North,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22066.0
8470.0, Virginia,16.0,State questionnaire,Version 1,Call 1,Not complete,Election day exit poll,1.18996596336365,Jim Webb (Dem),No,Male,Black,50-59,,,,,,,,Strongly disapprove,,,,,,,,No,No,Yes,No,John Kerry (Dem),To express opposition to George W Bush,Offered a chance to apply for legal status,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white male,Non-white,45-59,50-64,18-64,30-59,,,,,,,,,,,,Disapprove,,,Black,Suburbs,Suburbs,10.0,Strong Republican,North,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22066.0
8506.0, Virginia,13.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.65406167507172,George Allen (Rep),Yes,Female,White,45-49,Independent,Moderate,,Other Christian,Once a week,,High school graduate,Somewhat approve,Maintain the same number of troops,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Very important,Extremely important,No Answer,Yes,No,No,George W. Bush (Rep),George W Bush was not a factor,Deported to the country they came from,Just today,Just today/In the last three days,Just today/In the last three days/Sometime last week,White female,White female,45-59,40-49,18-64,30-59,Independent/Something else,,,Protestant/Other Christian,White Protestant/Other Christian,,All others,Weekly,All others,Did not graduate from college,High school graduate or less,Approve,Same number or more troops,Approve,White,Rural,Small Cities/Rural,9.0,Strong Democratic,West/Shenandoah,Low Density Rural,Rural,Rural,Very downscale,24226.0
8507.0, Virginia,7.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.994388997554779,George Allen (Rep),Yes,Male,White,50-59,Republican,,$50k-$75k,Other Christian,Once a week,Yes,Some college or associate degree,Strongly approve,Send more troops,Somewhat approve,Not at all important,Somewhat important,Somewhat important,Somewhat important,Extremely important,No,Yes,Yes,No,George W. Bush (Rep),To express support for George W Bush,Deported to the country they came from,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,At least some college,Approve,Same number or more troops,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,East/Richmond,Extremely Low Density Rural,Rural,Rural,Very downscale,22427.0
8515.0, Virginia,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.924608290195465,Jim Webb (Dem),No,Male,White,30-39,Democratic,Liberal,$150k-$200k,Catholic,A few time a year,No,Postgraduate study,Strongly disapprove,Withdraw all troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,No,No,Yes,No,John Kerry (Dem),To express opposition to George W Bush,Offered a chance to apply for legal status,Sometime last week,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,White male,White male,30-44,30-39,18-64,30-59,Democratic,$50k or more,$100k or more,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,Suburbs,Suburbs,10.0,Strong Republican,North,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22066.0
8523.0, Virginia,50.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.06478297710419,George Allen (Rep),Did not vote,Female,White,45-49,Republican,Conservative,$50k-$75k,Protestant,A few time a year,Yes,College graduate,Somewhat approve,No answer,Somewhat approve,Somewhat important,Somewhat important,Somewhat important,Extremely important,No answer,Yes,Yes,No,No,George W. Bush (Rep),George W Bush was not a factor,No answer, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,White female,White female,45-59,40-49,18-64,30-59,Republican,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Ocassionally,Protestant/Do not attend weekly,College graduate,At least some college,Approve,No answer,Approve,White,Suburbs,Suburbs,9.0,Strong Democratic,West/Shenandoah,Suburb,70s Suburbs,Urban Perimeter,Upscale,24019.0
8568.0, Virginia,13.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.38738524913788,Jim Webb (Dem),No,Male,White,18-24,Democratic,Liberal,$15k-$30k,Other Christian,Once a week,Yes,Some college or associate degree,Strongly disapprove,Withdraw all troops,Strongly disapprove,Extremely important,Extremely important,Extremely important,Extremely important,Not at all important,No,No,Yes,No,John Kerry (Dem),George W Bush was not a factor,Offered a chance to apply for legal status,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,18-29,18-24,18-64,18-29,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,White Protestant/Other Christian Born-again,White Evangelical Born Again Christians,Weekly,All others,Did not graduate from college,At least some college,Disapprove,Withdraw all or some troops,Disapprove,White,Rural,Small Cities/Rural,9.0,Strong Democratic,West/Shenandoah,Low Density Rural,Rural,Rural,Very downscale,24226.0
8580.0, Virginia,16.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.924608290195465,Jim Webb (Dem),No,Male,White,40-44,Independent,Moderate,$200k or more,Protestant,Once a week,No,College graduate,Somewhat disapprove,Maintain the same number of troops,Somewhat disapprove,Somewhat important,Somewhat important,Somewhat important,Very important,Extremely important,No,No,No,No,George W. Bush (Rep),George W Bush was not a factor,Offered a chance to apply for legal status,In the last three days,Just today/In the last three days,Just today/In the last three days/Sometime last week,White male,White male,30-44,40-49,18-64,30-59,Independent/Something else,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Weekly,Protestant/Attend weekly,College graduate,At least some college,Disapprove,Same number or more troops,Disapprove,White,Suburbs,Suburbs,10.0,Strong Republican,North,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22066.0
8597.0, Virginia,7.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.994388997554779,George Allen (Rep),Yes,Male,White,45-49,Republican,Conservative,$100k-$150k,Catholic,A few time a year,No,Postgraduate study,Strongly approve,Send more troops,Strongly approve,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Yes,Yes,No,No,George W. Bush (Rep),To express support for George W Bush,Offered a chance to apply for legal status,Before that,Sometime last week/During the last month/Before that, During the last month/Before that,White male,White male,45-59,40-49,18-64,30-59,Republican,$50k or more,$100k or more,Catholic,White Catholic,All others,All others,Ocassionally,Catholic/Do not attend weekly,College graduate,At least some college,Approve,Same number or more troops,Approve,White,Rural,Small Cities/Rural,1.0,Strong Republican,East/Richmond,Extremely Low Density Rural,Rural,Rural,Very downscale,22427.0
8603.0, Virginia,12.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.12166845798492,Jim Webb (Dem),Yes,Male,Black,50-59,Democratic,Moderate,$100k-$150k,Other Christian,A few times a month,No,High school graduate,Somewhat disapprove,Withdraw all troops,Strongly disapprove,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,No,No,Yes,Yes,John Kerry (Dem),George W Bush was not a factor,Deported to the country they came from, During the last month,Sometime last week/During the last month/Before that, During the last month/Before that,Non-white male,Non-white,45-59,50-64,18-64,30-59,Democratic,$50k or more,$100k or more,Protestant/Other Christian,Non-White,All others,All others,Ocassionally,All others,Did not graduate from college,High school graduate or less,Disapprove,Withdraw all or some troops,Disapprove,Black,Suburbs,Suburbs,4.0,Unopposed Republican,East/Richmond,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,23831.0
