ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,HOUWY06,SENWY06,GOVWY06,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME05,RELIGN8,LATINO,BUSH4,IRAQWAR,FAVCHEN,STECWY,STEC2,SEXRACE,SEXWHITE,AGE60,AGE65,OVER65,AGE3,PARTY,INC50K,INC100K,REL5,WHITEREL,BUSH,IRAQWAR2,QRACEAI,SIZEPLAC,SIZEPLC3,CDNUM,CDSTRATUM,GEOCODE,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
21053.0,Wyoming,29.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.56242561340332,Barbara Cubin (Rep),Craig Thomas (Rep),Ray Hunkins (Rep),Male,White,60-64,Republican,Conservative,$50k-$75k,Catholic,No,Strongly approve,Strongly approve,Favorable,Excellent,Excellent/Good,White male,White male,60 or over,50-64,18-64,60 or over,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Town,Rural,Rural,Very upscale,82609.0
21107.0,Wyoming,29.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.934606492519379,Gary Trauner (Dem),Dale Groutage (Dem),Dave Freudenthal (Dem),Female,White,50-59,Democratic,Moderate,$50k-$75k,Protestant,No,Strongly disapprove,Strongly disapprove,Unfavorable,Good,Excellent/Good,White female,White female,45-59,50-64,18-64,30-59,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Town,Rural,Rural,Very upscale,82609.0
21111.0,Wyoming,46.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.338359236717224,Barbara Cubin (Rep),Dale Groutage (Dem),Dave Freudenthal (Dem),Female,White,18-24,Independent,Moderate,$30k-$50k,Muslim,No,Somewhat disapprove,Somewhat disapprove,Favorable,Good,Excellent/Good,White female,White female,18-29,18-24,18-64,18-29,Independent/Something else,Less than $50k,Less than $100k,Something else,White Something else,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Extremely Low Density Rural,Rural,Rural,Upscale,82901.0
21148.0,Wyoming,29.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.25553488731384,Gary Trauner (Dem),Dale Groutage (Dem),Dave Freudenthal (Dem),Male,White,65-74,Democratic,Moderate,$50k-$75k,Protestant,No,Strongly disapprove,Strongly disapprove,Unfavorable,Good,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,$50k or more,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Town,Rural,Rural,Very upscale,82609.0
21170.0,Wyoming,46.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.449361205101013,Barbara Cubin (Rep),Craig Thomas (Rep),Ray Hunkins (Rep),Female,White,30-39,Republican,Conservative,$75k-$100k,Catholic,No,Strongly approve,Somewhat approve,Favorable,Excellent,Excellent/Good,White female,White female,30-44,30-39,18-64,30-59,Republican,$50k or more,Less than $100k,Catholic,White Catholic,Approve,Approve,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Extremely Low Density Rural,Rural,Rural,Upscale,82901.0
21199.0,Wyoming,29.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.05822718143463,Gary Trauner (Dem),Dale Groutage (Dem),Dave Freudenthal (Dem),Male,White,25-29,Democratic,Liberal,$15k-$30k,None,No,Strongly disapprove,Strongly disapprove,Unfavorable,Excellent,Excellent/Good,White male,White male,18-29,25-29,18-64,18-29,Democratic,Less than $50k,Less than $100k,None,White None,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Town,Rural,Rural,Very upscale,82609.0
21211.0,Wyoming,46.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.485093027353287,Gary Trauner (Dem),Dale Groutage (Dem),Dave Freudenthal (Dem),Male,White,75 or over,Democratic,Moderate,$15k-$30k,None,No,Strongly disapprove,Strongly disapprove,Unfavorable,Good,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,None,White None,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Extremely Low Density Rural,Rural,Rural,Upscale,82901.0
21239.0,Wyoming,41.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.01716947555542,Gary Trauner (Dem),Craig Thomas (Rep),Dave Freudenthal (Dem),Female,White,50-59,Democratic,Liberal,$30k-$50k,Other Christian,No,Strongly disapprove,Strongly disapprove,Unfavorable,Not so good,Not so good/Poor,White female,White female,45-59,50-64,18-64,30-59,Democratic,Less than $50k,Less than $100k,Protestant/Other Christian,White Protestant/Other Christian,Disapprove,Disapprove,White,Rural,Small Cities/Rural,1.0,Competitive,North,Extremely Low Density Rural,Rural,Rural,Very downscale,82842.0
21255.0,Wyoming,29.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,1.25553488731384,Gary Trauner (Dem),Dale Groutage (Dem),Dave Freudenthal (Dem),Male,White,75 or over,Democratic,Conservative,$30k-$50k,Catholic,No,Somewhat disapprove,Strongly disapprove,Unfavorable,Good,Excellent/Good,White male,White male,60 or over,65 or over,65 or over,60 or over,Democratic,Less than $50k,Less than $100k,Catholic,White Catholic,Disapprove,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Town,Rural,Rural,Very upscale,82609.0
21273.0,Wyoming,46.0,State questionnaire,Version 1,Call 1,Complete,Election day exit poll,0.485237896442413,Barbara Cubin (Rep),Craig Thomas (Rep),Dave Freudenthal (Dem),Male,White,50-59,Republican,Conservative,$200k or more,Other Christian,No,Somewhat approve,Strongly disapprove,Favorable,Excellent,Excellent/Good,White male,White male,45-59,50-64,18-64,30-59,Republican,$50k or more,$100k or more,Protestant/Other Christian,White Protestant/Other Christian,Approve,Disapprove,White,"Cities 10,000-50,000",Small Cities/Rural,1.0,Competitive,South,Extremely Low Density Rural,Rural,Rural,Upscale,82901.0
