ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSME08,SENME08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,GUNOWNER,ISSUE08,NEC,NECWORRY,QLT08,RACEISS4,RELIGN8,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NEC2,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEISSA,RACEISSB,REL5,TIME3D08,TIME4,TIMEWK08,WHITEREL,WHNCLINC,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4400987.0,Maine,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,,,Female,White,65-74,Republican,Conservative,,High school graduate,,Somewhat approve,,The war in Iraq,Good,Very worried,Cares about people like me,A minor factor,,Sometime in September,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,Excellent/Good,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,Not important,Factor,,Sometime last week or earlier,Sometime in September,In the last month or before that,,,Suburbs,Suburbs,2.0,Congressional District 1,East,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,4468.0
4402213.0,Maine,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,75 or over,Independent,Moderate,"Under $15,000",College graduate,,,No,,,,,,Catholic,Earlier in October,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,Catholic,Sometime last week or earlier,Earlier in October,In the last month or before that,Catholic,No,"Cities 10,000-50,000",Small Cities/Rural,2.0,Congressional District 1,East,Town,Rural,Rural,Upscale,4401.0
4402212.0,Maine,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,50-59,Independent,Conservative,,Some college or associate degree,,,No,,,,,,Protestant,Earlier in October,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,Protestant/Other Christian,Sometime last week or earlier,Earlier in October,In the last month or before that,Protestant/Other Christian,,Rural,Small Cities/Rural,2.0,Congressional District 1,East,Extremely Low Density Rural,Rural,Rural,Upscale,4605.0
4401559.0,Maine,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Democrat,Liberal,"Under $15,000",High school graduate,,,,,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,Yes,"Cities 50,000-500,000","Cities over 50,000",1.0,Congressional District 1,East,Suburb,Urban,Urban Core,Upscale,4102.0
4401557.0,Maine,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Female,White,65-74,Democrat,Moderate,"Under $15,000",Some college or associate degree,,,,,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Democrat,Non black Democrat,White Democrats,White Democrats,White,,,,,,,,Yes,Rural,Small Cities/Rural,2.0,Congressional District 1,East,Low Density Rural,Rural,Rural,Downscale,4416.0
4400988.0,Maine,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,Barack Obama,,Male,White,45-49,Democrat,Liberal,"$200,000 or more",Postgraduate study,,Strongly disapprove,,The war in Iraq,Poor,Somewhat worried,Shares my values,Not a factor at all,,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,No,Rural,Small Cities/Rural,2.0,Congressional District 1,East,Low Density Rural,Rural,Rural,Downscale,4849.0
4401560.0,Maine,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,50-59,Independent,Conservative,"$15,000-$29,999",High school graduate,,,,,,,,,,,,Non black female,White women,White female,White female,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,,,,,,,,Yes,Rural,Small Cities/Rural,1.0,Congressional District 1,East,Low Density Rural,Rural,Rural,Upscale,4345.0
4401558.0,Maine,,National questionnaire,Version 3,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Female,White,75 or over,Republican,Moderate,,High school graduate,,,,,,,,,,,,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Republican,Non black non Democrat,All Republicans,White Republicans,White,,,,,,,,,"Cities 10,000-50,000",Small Cities/Rural,1.0,Congressional District 1,East,Town,Rural,Rural,Downscale,4841.0
4400989.0,Maine,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Independent,Moderate,"$30,000-$49,999",Did not complete high school,,Strongly disapprove,,The war in Iraq,Poor,Very worried,Shares my values,Not a factor at all,,Earlier in October,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Not so good/Poor,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,Not important,Not a factor,,Sometime last week or earlier,Earlier in October,In the last month or before that,,Yes,Rural,Small Cities/Rural,1.0,Congressional District 1,East,Low Density Rural,Rural,Rural,Upscale,4578.0
4400986.0,Maine,,National questionnaire,Version 2,Telephone Survey,Complete,Telephone survey,0.0,John McCain,,Male,White,50-59,Republican,Moderate,"$200,000 or more",Postgraduate study,,Somewhat disapprove,,The economy,Poor,Very worried,Has the right experience,Not a factor at all,,Before that,Disapprove,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,50-64,18-64,Non black 45-59,White 45-59,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Not so good/Poor,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,Not important,Not a factor,,Sometime last week or earlier,Before that,In the last month or before that,,No,"Cities 10,000-50,000",Small Cities/Rural,1.0,Congressional District 1,East,Suburb,Rural,Rural,Very upscale,4106.0
