ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSTX08,SENTX08,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME07,EDUC,LATINO,BUSH4,BRNAGAIN,ISSUE08,NECWORRY,SPANISHQ,TIME08,BUSH,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,AGE,AGE3,AGE45,AGE60,AGE65,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INCOME3,INCWHITE,NECWORR2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYWHITE,QRACEAI,RACEBRN,TIME3D08,TIME4,TIMEWK08,WHNCLINC,WHTEVANG,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
4394297.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,0.771957457065582,Barack Obama,Rick Noriega,Male,White,60-64,Independent,Liberal,"$75,000-$99,999",Some college or associate degree,No,Strongly disapprove,No,The war in Iraq,Somewhat worried,English,Before that,Disapprove,Non black male,White men,White male,White male,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,No,All others,Suburbs,Suburbs,26.0,East,South,Suburb,,High-Growth Suburban Perimeter,Upscale,76210.0
4394146.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.696608543396,John McCain,John Cornyn,Female,White,30-39,Republican,Conservative,"$100,000-$149,999",College graduate,No,Somewhat approve,Yes,The economy,Somewhat worried,English,Before that,Approve,Non black female,White women,White female,White female,30-44,30-59,18-44,30-44,30-39,18-64,Non black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Republican,Non black non Democrat,All Republicans,White Republicans,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Suburbs,Suburbs,26.0,East,South,Suburb,,High-Growth Suburban Perimeter,Upscale,76210.0
4402391.0,Texas,,National questionnaire,Version 4,Telephone Survey,Complete,Telephone survey,2.69526410102844,Barack Obama,Rick Noriega,Female,White,25-29,Democrat,,"$30,000-$49,999",High school graduate,,,No,,,,Before that,,Non black female,White women,White female,White female,18-29,18-29,18-44,18-29,25-29,18-64,Non black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Before that,In the last month or before that,Yes,All others,Rural,Small Cities/Rural,17.0,East,South,Low Density Rural,Rural,Rural,Downscale,76692.0
4394219.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.23619842529297,John McCain,John Cornyn,Male,,50-59,Republican,,"$75,000-$99,999",Postgraduate study,,Somewhat disapprove,No,Terrorism,Somewhat worried,,Earlier in October,Disapprove,,,,,45-65,30-59,45+,45-59,50-64,18-64,,,,College graduate,More than High school graduate,,Less than 100k,50k or more,50 to 100 thousand,,Worried,Republican,,,,,,Sometime last week or earlier,Earlier in October,In the last month or before that,,All others,Rural,Small Cities/Rural,13.0,West,South,Low Density Rural,Rural,Rural,Upscale,79036.0
4394495.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.38376808166504,Barack Obama,Rick Noriega,Female,Hispanic/Latino,65-74,Democrat,Conservative,"$15,000-$29,999",Some college or associate degree,Yes,Strongly disapprove,Yes,Health care,Very worried,Spanish,Earlier in October,Disapprove,Non black female,Latino women,Non white female,Non white,65+,60+,45+,60+,65+,65+,Non black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Non black Democrat,Latino Democrats,All others,Hispanic/Latino,All others,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,Rural,Small Cities/Rural,23.0,South-Central,South,Extremely Low Density Rural,Rural,Rural,Very downscale,78834.0
4394483.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.28164517879486,John McCain,,Female,White,65-74,Democrat,Moderate,"$30,000-$49,999",College graduate,No,Somewhat approve,No,The economy,Very worried,English,Earlier in October,Approve,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White non born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,4.0,East,South,Low Density Rural,Rural,Rural,Upscale,75092.0
4394406.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,6.44426250457764,Barack Obama,Did not vote,Female,Black,25-29,Democrat,Liberal,"$30,000-$49,999",Some college or associate degree,No,Strongly disapprove,No,Omit,Somewhat worried,English,Before that,Disapprove,Black female,Black women,Non white female,Non white,18-29,18-29,18-44,18-29,25-29,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Less than 100k,Less than 50k,Less than 50 thousand,Under 50 thousand and non white,Worried,Democrat,Black Democrat,Black Democrats,All others,Black,All others,Sometime last week or earlier,Before that,In the last month or before that,No,All others,"Cities 10,000-50,000",Small Cities/Rural,31.0,South-Central,South,Low Density Rural,Rural,Rural,Downscale,76544.0
4394139.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,2.1016218662262,John McCain,Did not vote,Female,White,60-64,Independent,Conservative,"$100,000-$149,999",College graduate,No,Somewhat disapprove,Yes,Omit,Somewhat worried,English,Before that,Disapprove,Non black female,White women,White female,White female,45-65,60+,45+,60+,50-64,18-64,Non black 60+,White 60+,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,21.0,West,South,Extremely Low Density Rural,Rural,Rural,Downscale,78013.0
4394389.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,1.96469676494598,John McCain,Did not vote,Male,White,45-49,Independent,Moderate,"$100,000-$149,999",High school graduate,No,Strongly approve,Yes,The economy,Very worried,English,Before that,Approve,Non black male,White men,White male,White male,45-65,30-59,45+,45-59,40-49,18-64,Non black 45-59,White 45-59,White 45-54,No college degree,High school graduate or less,White no college degree,100k or more,50k or more,100 thousand or more,Over 50 thousand and white,Worried,Independent/Something else,Non black non Democrat,White Independents,White Independents,White,White born again,Sometime last week or earlier,Before that,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,6.0,East,South,Low Density Rural,Rural,Rural,Very downscale,76667.0
4394200.0,Texas,,State questionnaire,Version 1,Telephone Survey,Complete,Telephone survey,4.44248723983765,,Rick Noriega,Female,White,75 or over,Democrat,Conservative,"$50,000-$74,999",High school graduate,No,Strongly disapprove,Yes,Health care,Very worried,English,Earlier in October,Disapprove,Non black female,White women,White female,White female,65+,60+,45+,60+,65+,65+,Non black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,50 to 100 thousand,Over 50 thousand and white,Worried,Democrat,Non black Democrat,White Democrats,White Democrats,White,White born again,Sometime last week or earlier,Earlier in October,In the last month or before that,No,White Born-again/Evangelical Christians,Rural,Small Cities/Rural,31.0,West,South,Extremely Low Density Rural,Rural,Rural,Very downscale,76531.0
