ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENAZ10,GOVAZ10,AZPROP106,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,BRNAGAIN,CHILD,DESCRIBG10,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,HEALTHFAM,ISSUE10,NECWORRY,OBAMA4,PRIORITY,QUALGOV10,TEAPARTY,TIMESEN10,TRACK,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,WHTEVANG,XTEAPARTYID,IMMAZLAW,IMMDEPORT,IMMLAW,FORECLOSE2,IMMAZLAW2,LATINOS,WRKWOMEN,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
862266.0,Arizona,50003.0,,Complete,Telephone survey,0.699999988079071,,,Yes,Male,White,65 or over,,,,College graduate,No,,,I strongly favor my candidate,Favorable,Unfavorable,About the same,,To express support for Barack Obama,Enthusiastic,,,It will not make much difference to you,,,,Cutting taxes,,,,,Omit,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,Positive,,,,,,,,White,,,,,,,,,The federal government,,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 2,Low Density Rural,No Answer,Urban Perimeter,Upscale,85383.0
862358.0,Arizona,50003.0,,Complete,Telephone survey,1.64999997615814,John McCain,Terry Goddard,Yes,Male,White,40-44,Independent,Conservative,"$50,000-$74,999",College graduate,No,No,Yes,,,,,Not at all worried,,"Dissatisfied, but not angry",,,,,,Somewhat disapprove,,Understands the needs of people like me,,,Seriously off on the wrong track,Didn't vote,,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Dads - Men with children,Negative,,,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,No,All others,,,Deported to the country they came from,,Not worried,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 3,Low Density Rural,No Answer,Urban Perimeter,Upscale,85383.0
917639.0,Arizona,32.0,Call 3,Complete,Election day exit poll,0.569999992847443,John McCain,Jan Brewer,Yes,Male,White,45-49,Something else,Conservative,"$100,000-$199,999",College graduate,No,No,Yes,,,,,Not at all worried,,Angry,,,,,,Strongly disapprove,,Understands the needs of people like me,,,Seriously off on the wrong track,Didn't vote,,Non black male,White men,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Dads - Men with children,Negative,,,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,No,All others,,,Deported to the country they came from,,Not worried,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 3,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
896462.0,Arizona,32.0,Call 2,Complete,Election day exit poll,0.550000011920929,John McCain,Jan Brewer,Yes,Female,White,30-39,Republican,Conservative,,College graduate,No,,,I strongly favor my candidate,Unfavorable,Favorable,About the same,,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,You will be worse off,,,,Reducing the budget deficit,,,,,Didn't vote,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,,,,,State government,,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 2,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
917815.0,Arizona,32.0,Call 3,Complete,Election day exit poll,0.990000009536743,,,Yes,Male,,50-59,Republican,Conservative,,High school graduate,,,,I like my candidate but with reservations,Unfavorable,Favorable,Worse,,To express opposition to Barack Obama,Angry,,,You will be worse off,,,,Cutting taxes,,,,,Didn't vote,,,,45-65,30-59,45+,45-59,50-64,,No college degree,High school graduate or less,,,,,,,,Negative,,,,Republican,Republican Men,,Conservative Republicans,,,,,,,,,,State government,,,,,State questionnaire,,Suburbs,Suburbs,2.0,1.0,West,Version 2,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
896505.0,Arizona,32.0,Call 2,Complete,Election day exit poll,0.649999976158142,John McCain,Jan Brewer,Yes,Male,White,25-29,Something else,Conservative,,Some college/assoc. degree,No,,,I like my candidate but with reservations,Unfavorable,Unfavorable,Worse,,Barack Obama was not a factor,Angry,,,You will be worse off,,,,Reducing the budget deficit,,,,,Other,,Non black male,White men,18-29,18-29,18-44,18-29,25-29,White 18-29,No college degree,More than High school graduate,White no college degree,,,,,,,Negative,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,,,,,,,,State government,,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 2,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
896287.0,Arizona,32.0,Call 2,Complete,Election day exit poll,0.389999985694885,Other,Other,No,Male,White,50-59,Republican,Moderate,"Under $30,000",Some college/assoc. degree,,No,No,,,,,Not at all worried,,Angry,,,,,,Strongly disapprove,,Can bring needed change,,,Seriously off on the wrong track,McCain,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Men without children,Negative,,,Disapprove,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,,Yes,All others,,,Offered a chance to apply for legal status,,Not worried,,,,State questionnaire,,Suburbs,Suburbs,2.0,1.0,West,Version 3,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
862450.0,Arizona,50003.0,,Complete,Telephone survey,2.3199999332428,John McCain,Jan Brewer,,Female,White,50-59,Republican,Moderate,"$75,000-$99,999",College graduate,No,Yes,No,,,,,Very worried,,"Dissatisfied, but not angry",,,,,,Somewhat disapprove,,Can bring needed change,,,Seriously off on the wrong track,McCain,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,Negative,,,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,No,White Born-again/Evangelical Christians,,,Offered a chance to apply for legal status,,Worried,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 3,Low Density Rural,No Answer,Urban Perimeter,Upscale,85383.0
917183.0,Arizona,32.0,Call 3,Complete,Election day exit poll,0.550000011920929,John McCain,Jan Brewer,Yes,Female,White,30-39,Republican,Conservative,"$100,000-$199,999",Some college/assoc. degree,No,No,Yes,,,,,Not at all worried,,Angry,,,,,,Strongly disapprove,,Understands the needs of people like me,,,Seriously off on the wrong track,McCain,,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,Moms - Women with children,Negative,,,Disapprove,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,No,All others,,,Deported to the country they came from,,Not worried,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 3,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
881273.0,Arizona,32.0,Call 1,Complete,Election day exit poll,0.670000016689301,John McCain,Jan Brewer,No,Male,White,60-64,Republican,Conservative,"$30,000-$49,999",High school graduate,No,No,No,,,,,Not at all worried,,"Dissatisfied, but not angry",,,,,,Strongly disapprove,,Understands the needs of people like me,,,Seriously off on the wrong track,McCain,,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Men without children,Negative,,,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,Yes,All others,,,Deported to the country they came from,,Not worried,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 3,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
862360.0,Arizona,50003.0,,Complete,Telephone survey,1.19000005722046,John McCain,Jan Brewer,No,Female,White,65 or over,Republican,Moderate,"$50,000-$74,999",Some college/assoc. degree,No,No,No,,,,,Not very worried,,"Dissatisfied, but not angry",,,,,,Strongly disapprove,,Understands the needs of people like me,,,Seriously off on the wrong track,McCain,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,Women without children,Negative,,,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,No,All others,,,Deported to the country they came from,,Not worried,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 3,Low Density Rural,No Answer,Urban Perimeter,Upscale,85383.0
917471.0,Arizona,32.0,Call 3,Complete,Election day exit poll,0.569999992847443,John McCain,Jan Brewer,Yes,Male,White,40-44,Republican,Conservative,"$30,000-$49,999",Some college/assoc. degree,No,Yes,Yes,,,,,Somewhat worried,,Angry,,,,,,Strongly disapprove,,Understands the needs of people like me,,,Seriously off on the wrong track,McCain,,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,More than High school graduate,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,Dads - Men with children,Negative,,,Disapprove,Republican,Republican Men,White Republicans,Conservative Republicans,White,,,,Yes,White Born-again/Evangelical Christians,,,Deported to the country they came from,,Worried,,No,,State questionnaire,English,Suburbs,Suburbs,2.0,1.0,West,Version 3,Extremely Low Density Rural,No Answer,High-Growth Suburban Perimeter,Very downscale,85387.0
