ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENFL10,GOVFL10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,CUBAN3,CHILD,DESCRIBS10B,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,SENCNTL,STIMULUS,TEAPARTY,TEAREAS,TIMESEN10,TRACK,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,XTEAPARTYID,@2WAYSENFL,DECLINE10,DESCRIBG10,MARRIED,FORECLOSE2,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
886495.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.55999994277954,Kendrick Meek,Alex Sink,Male,Hispanic,45-49,,Liberal,,Postgraduate study,"Yes, other Hispanic",,I strongly favor my candidate,Favorable,Unfavorable,Worse,,To express support for Barack Obama,Angry,,,,,,,Reducing the budget deficit,,The Democratic Party,,,The Tea Party movement was not a factor,,,Omit,Non black male,Latino men,45-65,30-59,45+,45-59,40-49,Latino 45-54,College graduate,More than High school graduate,Non white college degree,,,,,,,Negative,,,,,,,,Hispanic/Latino,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale,32128.0
902723.0,Florida,110.0,Call 3,Complete,Election day exit poll,0.0,,Alex Sink,Female,Black,65 or over,,,"$50,000-$74,999",Some college/assoc. degree,No,No,,,,,Omit,,,,,,,,Omit,,Omit,,Omit,Omit,,,Omit,Omit,Black female,Black women,65+,60+,45+,60+,65+,Black 65+,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,Women without children,,,,Omit,,,,,Black,,Omit,,,No,,Kendrick Meek,Omit,,,Omit,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 3,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale,32128.0
886737.0,Florida,110.0,Call 2,Complete,Election day exit poll,2.16000008583069,Charlie Crist,Alex Sink,Female,White,50-59,Independent,Moderate,,Some college/assoc. degree,No,,I like my candidate but with reservations,Unfavorable,Unfavorable,Worse,,Omit,"Satisfied, but not enthusiastic",,,,,,,Spending to create jobs,,Omit,,,Against the Tea Party movement,,,McCain,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,Positive,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale,32128.0
886560.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.78999996185303,Marco Rubio,Rick Scott,Male,White,40-44,Republican,Liberal,,Postgraduate study,No,,I strongly favor my candidate,Unfavorable,Favorable,About the same,,Barack Obama was not a factor,Angry,,,,,,,Spending to create jobs,,The Republican Party,,,In favor of the Tea Party movement,,,McCain,Non black male,White men,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,,,,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale,32128.0
859966.0,Florida,50025.0,,Complete,Telephone survey,1.75999999046326,Marco Rubio,Rick Scott,Female,White,50-59,Republican,Conservative,,College graduate,No,,I strongly favor my candidate,Unfavorable,Unfavorable,Better,,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,Reducing the budget deficit,,The Republican Party,,,In favor of the Tea Party movement,,,McCain,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,6.0,1.0,South,Version 2,Suburb,No Answer,Urban Perimeter,Upscale,32003.0
860070.0,Florida,50071.0,,Complete,Telephone survey,2.05999994277954,Charlie Crist,Rick Scott,Female,White,30-39,Democrat,Liberal,,Some college/assoc. degree,No,,I dislike the other candidates,Unfavorable,Unfavorable,Worse,,Barack Obama was not a factor,Angry,,,,,,,Reducing the budget deficit,,Does not matter to me,,,In favor of the Tea Party movement,,,McCain,Non black female,White women,30-44,30-59,18-44,30-44,30-39,White 30-44,No college degree,More than High school graduate,White no college degree,,,,,,,Negative,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,,,,,,,,,No,,State questionnaire,English,Suburbs,Suburbs,15.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Downscale,33897.0
871121.0,Florida,110.0,Call 1,Complete,Election day exit poll,1.74000000953674,Marco Rubio,Rick Scott,Male,Other,65 or over,,Moderate,,Postgraduate study,No,,I strongly favor my candidate,Omit,Omit,About the same,,Barack Obama was not a factor,Angry,,,,,,,Cutting taxes,,Does not matter to me,,,The Tea Party movement was not a factor,,,McCain,Non black male,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,Negative,,,,,,,,Other,,,,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale,32128.0
871120.0,Florida,110.0,Call 1,Complete,Election day exit poll,1.74000000953674,Marco Rubio,Rick Scott,Male,Other,65 or over,,Moderate,,Postgraduate study,No,,I strongly favor my candidate,Omit,Omit,About the same,,Barack Obama was not a factor,Angry,,,,,,,Cutting taxes,,Does not matter to me,,,The Tea Party movement was not a factor,,,McCain,Non black male,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,Negative,,,,,,,,Other,,,,,,,,,,,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale,32128.0
860040.0,Florida,50071.0,,Complete,Telephone survey,1.91999995708466,Marco Rubio,Rick Scott,Female,White,65 or over,Independent,Conservative,,College graduate,No,,I strongly favor my candidate,Unfavorable,Unfavorable,Worse,,Barack Obama was not a factor,Angry,,,,,,,Cutting taxes,,The Republican Party,,,In favor of the Tea Party movement,,,McCain,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,,,,,,,,,Yes,,State questionnaire,English,Suburbs,Suburbs,15.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Downscale,33897.0
886666.0,Florida,110.0,Call 2,Complete,Election day exit poll,1.64999997615814,Marco Rubio,Rick Scott,Female,White,40-44,Republican,Conservative,,High school graduate,No,,I strongly favor my candidate,Unfavorable,Favorable,Worse,,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,Cutting taxes,,The Republican Party,,,In favor of the Tea Party movement,,,McCain,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Conservative Republicans,White,,,,,,,,,,No,,State questionnaire,English,Suburbs,Suburbs,24.0,2.0,South,Version 2,Low Density Rural,No Answer,High-Growth Suburban Perimeter,Upscale,32128.0
