ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENNV10,GOVNV10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,DESCRIBS10B,FAVDEM2,FAVREP2,FINSIT2,FORECLOSE,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNFAIRNV10,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARTY3,TIMESENMTH10,TIMESENWK10,UNFAIRREID,UNFAIRANGLE,WHNCLINC,XTEAPARTYID,ANGLECNSRV,OUTSIDER,REIDJOB,REIDTOOLONG,FORECLOSE2,REIDJOB2,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
917407.0,Nevada,67.0,Call 3,Complete,Election day exit poll,0.610000014305115,Harry Reid,,Male,White,50-59,Independent,Moderate,"$75,000-$99,999",Postgraduate study,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Somewhat worried,Somewhat disapprove,,,Somewhat support,,In the last three days,,,Yes,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Worried,Disapprove,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,Support,In the last month,In the last week,,,No,Tea Party supporters,,Omit,,,,,State questionnaire,English,Suburbs,Suburbs,3.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,89118.0
902946.0,Nevada,54.0,Call 2,Complete,Election day exit poll,0.490000009536743,Harry Reid,,Female,Hispanic,60-64,Democrat,Moderate,"$30,000-$49,999",High school graduate,Yes,,,,,,,,Government should do more to solve problems,Omit,The economy,,Very worried,Somewhat disapprove,,,Neutral,,In the last month,,,No,,Non black female,Latino women,45-65,60+,45+,60+,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,,The economy,Worried,Disapprove,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Hispanic/Latino,Neutral,In the last month,In the last month or earlier,,,No,Non-Tea Party supporters and Democrats,,An insider who knows how to get things done,,,,,State questionnaire,English,Suburbs,Suburbs,1.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very downscale,89115.0
886581.0,Nevada,33.0,Call 1,Complete,Election day exit poll,0.370000004768372,Sharron Angle,,Female,Asian,30-39,Republican,Conservative,"$75,000-$99,999",College graduate,No,,,,,,,,Government is doing too many things better left to businesses and individuals,Omit,The economy,,Omit,Omit,,,Omit,,In the last month,,,No,,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,College graduate,More than High school graduate,Non white college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,The economy,Omit,Omit,Republican,Republican Women,All others,Conservative Republicans,Asian,Omit,In the last month,In the last month or earlier,,,No,,,Omit,,,,,State questionnaire,English,Suburbs,Suburbs,1.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Upscale,89031.0
903975.0,Nevada,13.0,Call 2,Complete,Election day exit poll,0.370000004768372,Sharron Angle,,Female,Other,30-39,Something else,Moderate,"$75,000-$99,999",Some college/assoc. degree,,,,,,,,,Government should do more to solve problems,Omit,Omit,,Very worried,Strongly disapprove,,,Somewhat support,,In the last three days,,,No,,Non black female,All other races,30-44,30-59,18-44,30-44,30-39,Other,No college degree,More than High school graduate,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,Omit,Worried,Disapprove,Independent/Something else,Independent Women,All others,Independents/Something else,Other,Support,In the last month,In the last week,,,No,Tea Party supporters,,An insider who knows how to get things done,,,,,State questionnaire,,Suburbs,Suburbs,3.0,2.0,West,Version 1,Suburb,80s Suburbs,Urban Perimeter,Very upscale,89113.0
916558.0,Nevada,42.0,Call 3,Complete,Election day exit poll,0.46000000834465,Did not vote,Did not vote,Female,Other,65 or over,Republican,Conservative,"Under $30,000",,No,,,,,,,,Government should do more to solve problems,Omit,Health care,,Very worried,Strongly disapprove,,,Neutral,,Omit,,,No,,Non black female,All other races,65+,60+,45+,60+,65+,Other,,,,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,Something else,Worried,Disapprove,Republican,Republican Women,All others,Conservative Republicans,American Indian,Neutral,Omit,Omit,,,,Non-Tea Party supporters and Republicans,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities over 500,000","Cities over 50,000",3.0,2.0,West,Version 1,High Density Urban,Urban,Urban Core,Very upscale,89117.0
860432.0,Nevada,50007.0,,Complete,Telephone survey,4.92000007629395,Harry Reid,Rory Reid,Female,Hispanic,45-49,Democrat,Conservative,"Under $30,000",High school graduate,Yes,,,,,,,,Omit,Omit,The economy,,Very worried,Omit,,,Omit,,Omit,,,Yes,,Non black female,Latino women,45-65,30-59,45+,45-59,40-49,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,The economy,Worried,Omit,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Hispanic/Latino,Omit,Omit,Omit,,,No,,,Omit,,,,,State questionnaire,English,Suburbs,Suburbs,3.0,2.0,West,Version 1,High Density Urban,80s Suburbs,Urban Perimeter,Very downscale,89147.0
916842.0,Nevada,92.0,Call 3,Complete,Election day exit poll,0.769999980926514,Harry Reid,Rory Reid,Female,White,60-64,Democrat,Moderate,"$75,000-$99,999",Postgraduate study,No,,,,,,,,Government should do more to solve problems,Omit,The economy,,Very worried,Somewhat approve,,,Strongly oppose,,Before that,,,No,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Oppose,Before that,In the last month or earlier,,,No,Non-Tea Party supporters and Democrats,,An insider who knows how to get things done,,,,,State questionnaire,English,Rural,Small Cities/Rural,2.0,3.0,West,Version 1,Extremely Low Density Rural,Rural,Rural,Very downscale,89415.0
916667.0,Nevada,71.0,Call 3,Complete,Election day exit poll,0.379999995231628,Harry Reid,Rory Reid,Female,White,50-59,Something else,Moderate,,High school graduate,No,,,,,,,,Omit,Omit,Health care,,Very worried,Somewhat approve,,,Neutral,,Before that,,,Yes,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,Something else,Worried,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Neutral,Before that,In the last month or earlier,,,,Non-Tea Party supporters and Independents/Something else,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",3.0,2.0,West,Version 1,Extremely High Density Urban,Urban,Urban Core,Upscale,89121.0
916571.0,Nevada,101.0,Call 3,Complete,Election day exit poll,0.430000007152557,Harry Reid,Rory Reid,Female,Hispanic,30-39,Independent,Moderate,"$100,000-$199,999",Some college/assoc. degree,Yes,,,,,,,,Omit,Omit,The economy,,Very worried,Somewhat approve,,,Somewhat oppose,,Before that,,,Yes,,Non black female,Latino women,30-44,30-59,18-44,30-44,30-39,Latino 30-44,No college degree,More than High school graduate,Non white no college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and non white,,The economy,Worried,Approve,Independent/Something else,Independent Women,All others,Independents/Something else,Hispanic/Latino,Oppose,Before that,In the last month or earlier,,,No,Non-Tea Party supporters and Independents/Something else,,An insider who knows how to get things done,,,,,State questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,High Density Urban,Urban,Urban Core,Very downscale,89512.0
916531.0,Nevada,101.0,Call 3,Complete,Election day exit poll,0.490000009536743,Harry Reid,Rory Reid,Female,White,60-64,Democrat,Moderate,,Postgraduate study,,,,,,,,,Government should do more to solve problems,Omit,The economy,,Somewhat worried,Somewhat disapprove,,,Somewhat oppose,,In the last three days,,,No,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,The economy,Worried,Disapprove,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,Oppose,In the last month,In the last week,,,,Non-Tea Party supporters and Democrats,,An insider who knows how to get things done,,,,,State questionnaire,,"Cities 50,000-500,000","Cities over 50,000",2.0,1.0,West,Version 1,High Density Urban,Urban,Urban Core,Very downscale,89512.0
