ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENNY10,SEN2NY10,GOVNY10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,GOVTDO10,ISSUE10,NECWORRY,OBAMA4,TEAPARTY,UNIONHH10,VOTE2008,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,TEAPARENTS,TEAPARTY3,WHNCLINC,XTEAPARTYID,HONEST10NY,HONESTCUOMO,HONESTPALA,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
865308.0, New York,50001.0,,Complete,Telephone survey,0.0,,Joseph DioGuardi,,Male,Other,65 or over,,,,Postgraduate study,,,,,,,,,,Non black male,All other races,65+,60+,45+,60+,65+,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,,,,American Indian,,,,,,,,National questionnaire,,Suburbs,Suburbs,1.0,2.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,11901.0
865691.0, New York,50030.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Male,Hispanic,45-49,,Moderate,,Some college/assoc. degree,,,,,,,Strongly oppose,,McCain,Non black male,Latino men,45-65,30-59,45+,45-59,40-49,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,,,,,,,,Hispanic/Latino,,Oppose,,,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",7.0,1.0,East,Version 3,Extremely High Density Urban,Urban,Urban Core,Downscale,11372.0
866125.0, New York,50107.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Female,Black,50-59,Democrat,Moderate,"$30,000-$49,999",College graduate,,No,,,,,,No,,Black female,Black women,45-65,30-59,45+,45-59,50-64,Black 45-54,College graduate,More than High school graduate,Non white college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and non white,Women without children,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,,No,,,,,National questionnaire,,Rural,Small Cities/Rural,22.0,3.0,East,Version 4,Low Density Rural,Rural,Rural,Very upscale,12484.0
866124.0, New York,50128.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Female,White,65 or over,Democrat,Liberal,"Under $30,000",High school graduate,,No,,,,,,No,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,Women without children,,,,Democrat,Democratic Women,White Democrats,Liberal Democrats,White,,,Yes,,,,,National questionnaire,,Suburbs,Suburbs,26.0,4.0,East,Version 4,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,14032.0
865690.0, New York,50087.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Male,White,60-64,Democrat,Conservative,,Some college/assoc. degree,,,,,,,Neutral,,Obama,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,Neutral,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,Suburbs,Suburbs,18.0,3.0,East,Version 3,Suburb,60s Suburbs,Urban Perimeter,Very upscale,10706.0
865689.0, New York,50107.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Male,White,50-59,Independent,Moderate,,Some college/assoc. degree,,,,,,,Omit,,Obama,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,More than High school graduate,White no college degree,,,,,,,,,,Independent/Something else,Independent Men,White Independents,Independents/Something else,White,,Omit,,,,,,National questionnaire,,Rural,Small Cities/Rural,22.0,3.0,East,Version 3,Town,Rural,Rural,Upscale,12477.0
865688.0, New York,50003.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Female,,50-59,,,,,,,,,,,Strongly oppose,,Obama,,,45-65,30-59,45+,45-59,50-64,,,,,,,,,,,,,,,,,,,,Oppose,,,,,,National questionnaire,,Suburbs,Suburbs,,4.0,East,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,14094.0
864905.0, New York,50128.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",High school graduate,,,Government should do more to solve problems,The economy,Somewhat worried,Somewhat approve,Neutral,,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,The economy,Worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,Neutral,No,Non-Tea Party supporters and Democrats,,,,National questionnaire,,Suburbs,Suburbs,26.0,4.0,East,Version 1,Suburb,60s Suburbs,Urban Perimeter,Very upscale,14221.0
864902.0, New York,50134.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Male,White,60-64,Democrat,Moderate,,College graduate,,,Government is doing too many things better left to businesses and individuals,The economy,Somewhat worried,Somewhat approve,Somewhat support,,Obama,Non black male,White men,45-65,60+,45+,60+,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,The economy,Worried,Approve,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,Support,,Tea Party supporters,,,,National questionnaire,,"Cities 10,000-50,000",Small Cities/Rural,27.0,5.0,East,Version 1,Suburb,Rural,Rural,Very downscale,14048.0
864901.0, New York,50000.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Male,Black,30-39,Democrat,,"Under $30,000",High school graduate,,,Omit,The economy,Very worried,Omit,Omit,,Obama,Black male,Black men,30-44,30-59,18-44,30-44,30-39,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,The economy,Worried,Omit,Democrat,Democratic Men,Non White Democrats,,Black,,Omit,No,,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",,1.0,East,Version 1,Extremely High Density Urban,Urban,Urban Core,Upscale,11210.0
864900.0, New York,50000.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Female,Black,25-29,Democrat,Conservative,"Under $30,000",High school graduate,,,Government should do more to solve problems,The economy,Very worried,Strongly approve,Neutral,,Didn't vote,Black female,Black women,18-29,18-29,18-44,18-29,25-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and non white,,The economy,Worried,Approve,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Black,,Neutral,No,Non-Tea Party supporters and Democrats,,,,National questionnaire,,"Cities over 500,000","Cities over 50,000",,1.0,East,Version 1,Extremely High Density Urban,Urban,Urban Core,Upscale,10469.0
864903.0, New York,50114.0,,Complete,Telephone survey,0.0,,Joseph DioGuardi,Carl Paladino,Female,White,65 or over,Something else,Conservative,,High school graduate,,,Government is doing too many things better left to businesses and individuals,The economy,Very worried,Somewhat disapprove,Neutral,,Obama,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,The economy,Worried,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,,Neutral,,Non-Tea Party supporters and Independents/Something else,,,,National questionnaire,,"Cities 10,000-50,000",Small Cities/Rural,23.0,5.0,East,Version 1,Town,Rural,Rural,Downscale,12901.0
864904.0, New York,50001.0,,Complete,Telephone survey,0.0,,Kirsten Gillibrand,Andrew Cuomo,Female,White,50-59,Democrat,Moderate,,College graduate,,,Government should do more to solve problems,The war in Afghanistan,Not too worried,Somewhat approve,Strongly oppose,,Obama,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,,,,,,,Something else,Not worried,Approve,Democrat,Democratic Women,White Democrats,Moderate/Conservative Democrats,White,,Oppose,,Non-Tea Party supporters and Democrats,,,,National questionnaire,,Suburbs,Suburbs,1.0,2.0,East,Version 1,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,11780.0
