ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,SENPA10,GOVPA10,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME10,EDUC10,LATINO,CHILD,DESCRIBS10,FAVDEM2,FAVREP2,FINSIT2,FOROBAMAS,GOVTANGR,GOVTDO10,HEALTHCARE10,HEALTHFAM,ISSUE10,LAIDOFF,NECWORRY,OBAMA4,PRIORITY,QUALSEN10,RELIGN10,SENCNTL,TEAPARTY,TEAREAS,TIMESEN10,TRACK,UNIONHH10,VOTE2008,WORK,SEXBLACK,SEXBYRACE,AGE,AGE3,AGE45,AGE60,AGE65,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,INC100K,INC50K,INC30K,INCOME3,INCWHITE,PARENTS,GOVTANG2,ISSUEECON,NECWORR2,OBAMA2,PARTY,PARTYSEX,PARTYWHITE,PTYIDEO,QRACEAI,REL5,WHITEREL,TEAPARENTS,TEAPARTY3,TIMESENMTH10,TIMESENWK10,WHNCLINC,XTEAPARTYID,PRINCIPLES,SAMESEXM,SPECTOOM,WRKWOMEN,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
891045.0,Pennsylvania,106.0,Call 2,Complete,Election day exit poll,0.907871961593628,Pat Toomey,Tom Corbett,Female,White,60-64,,,,High school graduate,No,,Omit,Omit,Omit,About the same,Omit,Omit,,,,,,,,Omit,,,Omit,,Omit,,,,Omit,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,Omit,,,,,,,,White,,,,,,,,,Omit,No,,,State questionnaire,Suburbs,Suburbs,12.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,15676.0
910849.0,Pennsylvania,3.0,Call 3,Complete,Election day exit poll,1.3444629907608,Pat Toomey,Tom Corbett,Female,White,,Republican,,,College graduate,No,,I dislike the other candidate,Unfavorable,Favorable,Worse,Omit,Omit,,,,,,,,Omit,,,The Republican Party,,Omit,,,,Omit,,Non black female,White women,,,,,,,College graduate,More than High school graduate,White college degree,,,,,,,Omit,,,,Republican,Republican Women,White Republicans,,White,,,,,,,,,Stick to their principles no matter what,No,,,State questionnaire,Suburbs,Suburbs,18.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,15037.0
865758.0,Pennsylvania,50014.0,,Complete,Telephone survey,0.0,Joe Sestak,Dan Onorato,Male,White,,Democrat,Moderate,,High school graduate,No,,,,,,,,,Repeal it,,,,,,Spending to create jobs,,,,Neutral,,,Omit,,Omit,,Non black male,White men,,,,,,,No college degree,High school graduate or less,White no college degree,,,,,,,,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,,,Neutral,,,,Non-Tea Party supporters and Democrats,,No,,,National questionnaire,Rural,Small Cities/Rural,3.0,5.0,East,Version 3,Low Density Rural,Rural,Rural,Downscale,16433.0
890791.0,Pennsylvania,106.0,Call 2,Complete,Election day exit poll,0.587308466434479,Joe Sestak,Tom Corbett,Female,White,65 or over,,Moderate,,High school graduate,No,,Omit,Omit,Omit,Omit,Barack Obama was not a factor,"Dissatisfied, but not angry",,,,,,,,Spending to create jobs,,,Omit,,Against the Tea Party movement,,,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,,,,,,White,,,,,,,,,Make compromises to get things done,No,,,State questionnaire,Suburbs,Suburbs,12.0,5.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,15676.0
913638.0,Pennsylvania,49.0,Call 3,Complete,Election day exit poll,0.810128450393677,Joe Sestak,Dan Onorato,Female,Other,45-49,Democrat,Moderate,,Postgraduate study,No,,,,,,,,,Leave it as is,,,,,,Reducing the budget deficit,,,,Strongly oppose,,,Seriously off on the wrong track,,Omit,,Non black female,All other races,45-65,30-59,45+,45-59,40-49,Other,College graduate,More than High school graduate,Non white college degree,,,,,,,,,,,Democrat,Democratic Women,Non White Democrats,Moderate/Conservative Democrats,Other,,,,Oppose,,,,Non-Tea Party supporters and Democrats,,No,,,National questionnaire,Suburbs,Suburbs,7.0,2.0,East,Version 3,Extremely High Density Urban,60s Suburbs,Urban Perimeter,Downscale,19023.0
909601.0,Pennsylvania,72.0,Call 3,Complete,Election day exit poll,0.838907063007355,Pat Toomey,Tom Corbett,Male,Hispanic,50-59,Republican,Conservative,,Some college/assoc. degree,Yes,,I like my candidate but with reservations,Unfavorable,Favorable,Worse,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,,Reducing the budget deficit,,,The Republican Party,,The Tea Party movement was not a factor,,,,Omit,,Non black male,Latino men,45-65,30-59,45+,45-59,50-64,Latino 45-54,No college degree,More than High school graduate,Non white no college degree,,,,,,,Negative,,,,Republican,Republican Men,All others,Conservative Republicans,White,,,,,,,,,Stick to their principles no matter what,No,,,State questionnaire,Suburbs,Suburbs,10.0,3.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,18704.0
908841.0,Pennsylvania,72.0,Call 3,Complete,Election day exit poll,0.933828711509705,Joe Sestak,Dan Onorato,Female,White,40-44,Republican,Moderate,,Postgraduate study,No,,Omit,Favorable,Omit,About the same,Omit,"Dissatisfied, but not angry",,,,,,,,Reducing the budget deficit,,,Omit,,Omit,,,,Omit,,Non black female,White women,30-44,30-59,18-44,30-44,40-49,White 30-44,College graduate,More than High school graduate,White college degree,,,,,,,Negative,,,,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,,,,,,Stick to their principles no matter what,Yes,,,State questionnaire,Suburbs,Suburbs,10.0,3.0,East,Version 2,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,18704.0
909260.0,Pennsylvania,3.0,Call 3,Complete,Election day exit poll,1.0734384059906,,Tom Corbett,Male,White,65 or over,Democrat,Conservative,"$50,000-$74,999",Some college/assoc. degree,No,,,,,,,Angry,,,You will be worse off,,,,Strongly disapprove,,Can bring needed change,Catholic,,Somewhat support,,,Seriously off on the wrong track,,Omit,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,More than High school graduate,White no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Negative,,,Disapprove,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,Catholic,Catholic,,Support,,,No,Tea Party supporters,,,Pat Toomey,,State questionnaire,Suburbs,Suburbs,18.0,5.0,East,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,15037.0
890524.0,Pennsylvania,94.0,Call 2,Not complete,Election day exit poll,0.856923758983612,Joe Sestak,,Female,Black,,,,,,No,,I strongly favor my candidate,,,,,,,,,,,,,,,,Omit,,,,,,Omit,,Black female,Black women,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,State questionnaire,"Cities over 500,000","Cities over 50,000",2.0,1.0,East,Version 2,Extremely High Density Urban,Urban,Urban Core,Very downscale,19143.0
890411.0,Pennsylvania,22.0,Call 2,Complete,Election day exit poll,0.699506163597107,Joe Sestak,,Female,White,65 or over,Republican,Moderate,"Under $30,000",Postgraduate study,No,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Somewhat approve,,Can bring needed change,Protestant,,Omit,,,Seriously off on the wrong track,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,College graduate,More than High school graduate,White college degree,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Approve,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,Omit,,,No,,,,Omit,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,9.0,4.0,East,Version 3,Town,Rural,Rural,Very downscale,16602.0
888392.0,Pennsylvania,55.0,Call 2,Complete,Election day exit poll,0.789086103439331,Joe Sestak,Dan Onorato,Female,White,50-59,Independent,Moderate,"$75,000-$99,999",Postgraduate study,No,,,,,,,"Satisfied, but not enthusiastic",,,Omit,,,,Omit,,Has the right experience,Protestant,,Omit,,,Generally going in the right direction,,Omit,,Non black female,White women,45-65,30-59,45+,45-59,50-64,White 45-54,College graduate,More than High school graduate,White college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and white,,Positive,,,Omit,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,Omit,,,No,,,,Omit,,State questionnaire,Suburbs,Suburbs,7.0,2.0,East,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,19061.0
911866.0,Pennsylvania,89.0,Call 3,Complete,Election day exit poll,0.474867552518845,Joe Sestak,Dan Onorato,Male,Hispanic,60-64,Democrat,Liberal,"$75,000-$99,999",High school graduate,Yes,,,,,,,Enthusiastic,,,You will be better off,,,,Strongly approve,,Understands the needs of people like me,Other,,Strongly oppose,,,Generally going in the right direction,,Omit,,Non black male,Latino men,45-65,60+,45+,60+,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,Positive,,,Approve,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Hispanic/Latino,Something else,Non-white,,Oppose,,,No,Non-Tea Party supporters and Democrats,,,Arlen Specter,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,1.0,East,Version 3,Extremely High Density Urban,Urban,Urban Core,Very downscale,19124.0
911865.0,Pennsylvania,89.0,Call 3,Complete,Election day exit poll,0.474867552518845,Joe Sestak,Dan Onorato,Male,Hispanic,60-64,Democrat,Liberal,"$75,000-$99,999",High school graduate,Yes,,,,,,,Enthusiastic,,,You will be better off,,,,Strongly approve,,Understands the needs of people like me,Other,,Strongly oppose,,,Generally going in the right direction,,Omit,,Non black male,Latino men,45-65,60+,45+,60+,50-64,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,Less than 100k,50k or more,30k or more,50 to 100 thousand,Over 50 thousand and non white,,Positive,,,Approve,Democrat,Democratic Men,Non White Democrats,Liberal Democrats,Hispanic/Latino,Something else,Non-white,,Oppose,,,No,Non-Tea Party supporters and Democrats,,,Arlen Specter,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,1.0,East,Version 3,Extremely High Density Urban,Urban,Urban Core,Very downscale,19124.0
871893.0,Pennsylvania,101.0,Call 1,Complete,Election day exit poll,0.97397768497467,Joe Sestak,Dan Onorato,Female,White,60-64,Independent,Moderate,"$30,000-$49,999",High school graduate,No,,,,,,,"Satisfied, but not enthusiastic",,,It will not make much difference to you,,,,Somewhat approve,,Understands the needs of people like me,Protestant,,Somewhat support,,,Generally going in the right direction,,Omit,,Non black female,White women,45-65,60+,45+,60+,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,Less than 100k,Less than 50k,30k or more,Less than 50 thousand,Under 50 thousand and white,,Positive,,,Approve,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,Support,,,Yes,Tea Party supporters,,,Arlen Specter,,State questionnaire,Rural,Small Cities/Rural,10.0,3.0,East,Version 3,Suburb,Rural,Rural,Very downscale,18822.0
872511.0,Pennsylvania,74.0,Call 1,Complete,Election day exit poll,1.13279604911804,Pat Toomey,Tom Corbett,Male,White,65 or over,Republican,Moderate,,High school graduate,No,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Strongly disapprove,,Understands the needs of people like me,Protestant,,Strongly support,,,Seriously off on the wrong track,,Omit,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,Disapprove,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,Support,,,,Tea Party supporters,,,Pat Toomey,,State questionnaire,Suburbs,Suburbs,4.0,5.0,East,Version 3,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,16159.0
872510.0,Pennsylvania,74.0,Call 1,Complete,Election day exit poll,1.13279604911804,Pat Toomey,Tom Corbett,Male,White,65 or over,Republican,Moderate,,High school graduate,No,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Strongly disapprove,,Understands the needs of people like me,Protestant,,Strongly support,,,Seriously off on the wrong track,,Omit,,Non black male,White men,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,Disapprove,Republican,Republican Men,White Republicans,Moderate/Liberal Republicans,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,Support,,,,Tea Party supporters,,,Pat Toomey,,State questionnaire,Suburbs,Suburbs,4.0,5.0,East,Version 3,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,16159.0
873861.0,Pennsylvania,69.0,Call 1,Complete,Election day exit poll,0.808904886245728,Pat Toomey,Tom Corbett,Female,White,45-49,Independent,Conservative,"$100,000-$199,999",Postgraduate study,No,,,,,,,Angry,,,You will be worse off,,,,Strongly disapprove,,Understands the needs of people like me,Catholic,,Somewhat support,,,Seriously off on the wrong track,,Omit,,Non black female,White women,45-65,30-59,45+,45-59,40-49,White 45-54,College graduate,More than High school graduate,White college degree,100k or more,50k or more,30k or more,100 thousand or more,Over 50 thousand and white,,Negative,,,Disapprove,Independent/Something else,Independent Women,White Independents,Independents/Something else,White,Catholic,Catholic,,Support,,,No,Tea Party supporters,,,Pat Toomey,,State questionnaire,Suburbs,Suburbs,6.0,3.0,East,Version 3,Suburb,80s Suburbs,Urban Perimeter,Very upscale,18051.0
890894.0,Pennsylvania,107.0,Call 2,Complete,Election day exit poll,0.970918595790863,Pat Toomey,Tom Corbett,Female,White,65 or over,Republican,Moderate,,High school graduate,No,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Somewhat disapprove,,Understands the needs of people like me,Protestant,,Neutral,,,Seriously off on the wrong track,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,Protestant/Other Non-Catholic Christian,Protestant/Other Christian,,Neutral,,,,Non-Tea Party supporters and Republicans,,,Pat Toomey,,State questionnaire,Suburbs,Suburbs,12.0,5.0,East,Version 3,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,15613.0
891768.0,Pennsylvania,106.0,Call 2,Complete,Election day exit poll,0.0,Other,Other,Female,White,65 or over,Republican,Moderate,"Under $30,000",,No,,,,,,,"Dissatisfied, but not angry",,,You will be worse off,,,,Somewhat disapprove,,Understands the needs of people like me,,,Strongly support,,,Omit,,Omit,,Non black female,White women,65+,60+,45+,60+,65+,White 65+,,,,Less than 100k,Less than 50k,Less than 30k,Less than 50 thousand,Under 50 thousand and white,,Negative,,,Disapprove,Republican,Republican Women,White Republicans,Moderate/Liberal Republicans,White,,,,Support,,,,Tea Party supporters,,,Omit,,State questionnaire,Suburbs,Suburbs,12.0,5.0,East,Version 3,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,15676.0
875178.0,Pennsylvania,107.0,Call 1,Not complete,Election day exit poll,0.0,Other,Other,Male,Hispanic,45-49,,,,High school graduate,Yes,,I strongly favor my candidate,,,,,,,,,,,,,,,,Omit,,,,,,Omit,,Non black male,Latino men,45-65,30-59,45+,45-59,40-49,Latino 45-54,No college degree,High school graduate or less,Non white no college degree,,,,,,,,,,,,,,,White,,,,,,,,,,,,,State questionnaire,Suburbs,Suburbs,12.0,5.0,East,Version 2,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,15613.0
872144.0,Pennsylvania,24.0,Call 1,Complete,Election day exit poll,1.91426837444305,Joe Sestak,Dan Onorato,Male,White,50-59,Democrat,Moderate,,High school graduate,No,,I like my candidate but with reservations,Unfavorable,Unfavorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,,Spending to create jobs,,,Does not matter to me,,The Tea Party movement was not a factor,,,,Didn't vote,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,,,,,,,,Make compromises to get things done,No,,,State questionnaire,Rural,Small Cities/Rural,10.0,3.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,18829.0
872141.0,Pennsylvania,24.0,Call 1,Complete,Election day exit poll,1.91426837444305,Joe Sestak,Dan Onorato,Male,White,50-59,Democrat,Moderate,,High school graduate,No,,I like my candidate but with reservations,Unfavorable,Unfavorable,About the same,To express opposition to Barack Obama,"Dissatisfied, but not angry",,,,,,,,Spending to create jobs,,,Does not matter to me,,The Tea Party movement was not a factor,,,,Didn't vote,,Non black male,White men,45-65,30-59,45+,45-59,50-64,White 45-54,No college degree,High school graduate or less,White no college degree,,,,,,,Negative,,,,Democrat,Democratic Men,White Democrats,Moderate/Conservative Democrats,White,,,,,,,,,Make compromises to get things done,No,,,State questionnaire,Rural,Small Cities/Rural,10.0,3.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very downscale,18829.0
