ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,ALRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,ABORTION,BEATOBAMAFL,BREAK12PRI,BRNAGAIN,DESCRIBS12R,GINGCONSRV,PAULCONSRV,ROMNCONSRV,SANTCONSRV,ISSREP12SC,MARRIED,QLTREP12,SHAREREL,TEAPARTY,TIMEST12,UNDERREP12,VOTENOV12,WORK,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,ABORT2,BRNSHARE,BREAKFACT,BREAKIMP,SHAREREL2,TEAPARTY3,TEABRN,TIMEPRIFEWDAYS,TIMEPRIYEAR,WHNCLINC,WHTEVANG,WRKWOMEN,XQLTREP12,ECONWORR,INTERNATIONAL12R,ECOWORR2,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
270587.0,Alabama,84.0,Call 3,Complete,Election day exit poll,1.28249669075012,Did not vote,Female,Black,60-64,60-64,Somewhat liberal,Democrat,"$50,000-$99,999",College graduate,Legal in all cases,,,Yes,I strongly favor my candidate,Not conservative enough,Too conservative,Too conservative,Too conservative,,,,Somewhat,Strongly oppose,,Omit,Omit,No,,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,,,A great deal or somewhat,Oppose,Born-again but not Tea Party supporter,,,No,All others,All others,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,Suburb,Urban,Urban Core,Upscale,36575.0
270354.0,Alabama,84.0,Call 3,Complete,Election day exit poll,1.28249669075012,Did not vote,Female,Black,65 or over,65 or over,Somewhat conservative,Democrat,"$50,000-$99,999",College graduate,Legal in all cases,,,Yes,I strongly favor my candidate,About right,Too conservative,Too conservative,Not conservative enough,,,,Not at all,Strongly oppose,,Romney,Only vote for the Republican nominee if your candidate wins,Yes,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate did not matter a great deal,,,Not much or not at all,Oppose,Born-again but not Tea Party supporter,,,No,All others,Working women,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 2,Suburb,Urban,Urban Core,Upscale,36575.0
270328.0,Alabama,84.0,Call 3,Complete,Election day exit poll,1.31620109081268,Did not vote,Female,Black,40-44,40-44,Very conservative,Independent,"$50,000-$99,999",College graduate,,Romney,One of several important factors,Yes,,,,,,Abortion,Yes,Has strong moral character,,Strongly oppose,Just today,,,,Married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Independent/Something else,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,A factor,Important,,Oppose,Born-again but not Tea Party supporter,Last few days,Since January 1st,No,All others,,Has strong moral character,Not at all worried,Omit,Not worried,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,36575.0
269560.0,Alabama,97.0,Call 2,Complete,Election day exit poll,2.36745166778564,Did not vote,Female,White,40-44,40-44,Moderate,Independent,"$100,000-$199,999",College graduate,Legal in most cases,,,Yes,I strongly favor my candidate,About right,Too conservative,Not conservative enough,About right,,,,A great deal,Somewhat support,,Santorum,Definitely vote for the Republican nominee,Yes,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Working women,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale,35466.0
269559.0,Alabama,97.0,Call 2,Complete,Election day exit poll,2.36745166778564,Did not vote,Female,White,40-44,40-44,Moderate,Independent,"$100,000-$199,999",College graduate,Legal in most cases,,,Yes,I strongly favor my candidate,About right,Too conservative,Not conservative enough,About right,,,,A great deal,Somewhat support,,Santorum,Definitely vote for the Republican nominee,Yes,,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Support,Both Tea Party supporter and born-again,,,No,White Born-again/Evangelical Christians,Working women,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 2,Extremely Low Density Rural,Rural,Rural,Downscale,35466.0
269382.0,Alabama,27.0,Call 2,Complete,Election day exit poll,0.55302095413208,Did not vote,Female,White,45-49,45-49,,,"Under $30,000",High school or less,Illegal in all cases,,,Yes,I strongly favor my candidate,Omit,Omit,Omit,Omit,,,,A great deal,Omit,,Omit,Omit,Yes,,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,,,,,Less than 50 thousand,Less than 50k,Less than 100k,No college degree,High school graduate or less,Illegal,Born again/Think religious values of candidate matter a great deal,,,A great deal or somewhat,Omit,,,,Yes,White Born-again/Evangelical Christians,Working women,,,,,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 2,Low Density Rural,Rural,Rural,Very downscale,35981.0
268304.0,Alabama,75.0,Call 1,Complete,Election day exit poll,2.40421843528748,Did not vote,Male,White,65 or over,65 or over,Somewhat conservative,Independent,,College graduate,,Romney,Not a factor at all,No,,,,,,The economy,Yes,Omit,,Neutral,Omit,,,,Married men,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,,,Not a factor,Not important,,Neutral,Neither,Omit,Omit,No,All others,,Omit,Omit,Romney,Omit,State questionnaire,Rural,Small Cities/Rural,3.0,South,Version 1,Low Density Rural,Rural,Rural,Downscale,36732.0
268261.0,Alabama,84.0,Call 1,Complete,Election day exit poll,1.30491614341736,Did not vote,Male,Black,50-59,50-59,Moderate,Democrat,"$50,000-$99,999",College graduate,,Omit,Not a factor at all,Yes,,,,,,The economy,Yes,Omit,,Strongly oppose,Before that,,,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Democrat,Moderate/Liberal,Moderate/Liberal,Moderate,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,Not a factor,Not important,,Oppose,Born-again but not Tea Party supporter,Earlier than that,Before January 1st,No,All others,,Omit,Somewhat worried,Omit,Worried,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 1,Suburb,Urban,Urban Core,Upscale,36575.0
268171.0,Alabama,57.0,Call 1,Complete,Election day exit poll,0.601019442081451,Did not vote,Male,White,65 or over,65 or over,Somewhat liberal,Democrat,"$100,000-$199,999",Postgraduate study,Legal in most cases,,,No,Omit,Too conservative,Too conservative,Too conservative,Too conservative,,,,Not at all,Strongly oppose,,Paul,Omit,,,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,Legal,Not born again,,,Not much or not at all,Oppose,Neither,,,No,All others,All others,,,,,State questionnaire,Suburbs,Suburbs,1.0,South,Version 2,Low Density Rural,70s Suburbs,Urban Perimeter,Upscale,35633.0
268169.0,Alabama,77.0,Call 1,Complete,Election day exit poll,1.11292827129364,Did not vote,Female,White,25-29,25-29,Somewhat liberal,Democrat,"$50,000-$99,999",College graduate,,Romney,The most important factor,Yes,,,,,,The economy,No,Has the right experience,,Somewhat support,Just today,,,,Non married women,18-29,18-29,18-44,18-29,25-29,18-44,18-64,17-29,17-29,17-44,17-29,25-29,Democrat,Moderate/Liberal,Moderate/Liberal,Liberal,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,A factor,Important,,Support,Both Tea Party supporter and born-again,Last few days,Since January 1st,No,White Born-again/Evangelical Christians,,Has the right experience,Very worried,Romney,Worried,State questionnaire,Rural,Small Cities/Rural,1.0,South,Version 1,Low Density Rural,Rural,Rural,Upscale,35747.0
