ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,NHRPRS12,SEX,QRACE3,AGE8,XAGE8,PHIL5,PARTYID,INCOME12RNH,EDUC12R,BEATOBAMA,BREAK12PRI,BRNAGAIN,ISSREP12,MARRIED,QLTREP12,RELIGN10,SATGING,SATPAUL,SATROMN,SATSANT,TEAPARTY,TIMENH12,SEXWED,AGE,AGE3,AGE45,AGE60,AGE65,OVER45,OVER65,XAGE,XAGE3,XAGE45,XAGE60,XAGE65,PARTY,PHIL2R,PHIL3R,PHIL4R,INCOME3,INC50K,INC100K,EDUCCOLL,EDUCHS,BREAKFACT,BREAKIMP,REL5,TEAPARTY3,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,WHNCLINC,WHTEVANG,WPROTBRN,WPROTBRN3,XQLTREP12,CANDSOK,CONTACT12R,DEBATE12R,DEFICIT12R,ECONWORR,FAVMCCA,GETAHEAD,ISSVQUAL,OBAMANG,PHILFIS5,PHILSOC5,PREVPRI,PRINCIPLES,REGNHREP,UNFAIRREP12,CONTACT12R2,DEBATE12R2,ECOWORR2,PHILFIS2,PHILFIS3,PHILSOC2,PHILSOC3,QTYPE,SIZEPLAC,SIZEPLC3,GEOCODE,REGION,VERSION,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE
52762.0,New Hampshire,73.0,Call 1,Complete,Election day exit poll,0.350547611713409,Michele Bachmann,Male,White,45-49,45-49,Somewhat conservative,Independent,"$100,000-$199,999",Postgraduate study,Romney,,No,The economy,No,,,,,,,Strongly support,,Non married men,45-65,30-59,45+,45-59,40-49,45+,18-64,45-65,30-59,45+,45-59,40-49,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,Support,,,,No,All others,,,,I'm satisfied with the Republican candidates,Omit,,,Very worried,Omit,,,,,,,,,Omit,Omit,,Worried,,,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,East,Version 2,Suburb,Urban,Urban Core,Very upscale,3063.0
53972.0,New Hampshire,89.0,Call 2,Complete,Election day exit poll,0.953973889350891,Newt Gingrich,Female,White,65 or over,65 or over,Somewhat conservative,Independent,"$30,000-$49,999",Postgraduate study,Romney,,No,Omit,Yes,,,,,,,Strongly support,,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,Support,,,,No,All others,,,,Omit,I was not contacted at all,,,Very worried,Favorable,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very upscale,3770.0
53601.0,New Hampshire,48.0,Call 1,Complete,Election day exit poll,0.791734635829926,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",College graduate,Gingrich,,Yes,The economy,No,,,,,,,Somewhat support,,Non married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,Support,,,,No,White Born-again/Evangelical Christians,,,,I'm satisfied with the Republican candidates,"Mostly by phone, mail or in person",,,Very worried,Favorable,,,,,,,,,Paul,Contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3848.0
53486.0,New Hampshire,30.0,Call 1,Complete,Election day exit poll,0.8053377866745,Newt Gingrich,Female,White,40-44,40-44,Somewhat conservative,Republican,"$50,000-$99,999",Some college/assoc. degree,Gingrich,,No,The economy,Yes,,,,,,,Somewhat support,,Married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,More than High school graduate,,,,Support,,,,No,All others,,,,I'm satisfied with the Republican candidates,I was not contacted at all,,,Very worried,Unfavorable,,,,,,,,,Romney,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,3042.0
53422.0,New Hampshire,39.0,Call 1,Complete,Election day exit poll,0.812183380126953,Newt Gingrich,Female,White,40-44,40-44,Very conservative,Republican,"$50,000-$99,999",Postgraduate study,Paul,,Yes,The economy,Yes,,,,,,,Neutral,,Married women,30-44,30-59,18-44,30-44,40-49,18-44,18-64,30-44,30-59,17-44,30-44,40-49,Republican,Conservative,Very conservative,Very conservative,50 to 100 thousand,50k or more,Less than 100k,College graduate,More than High school graduate,,,,Neutral,,,,No,White Born-again/Evangelical Christians,,,,I'm satisfied with the Republican candidates,I was not contacted at all,,,Very worried,Omit,,,,,,,,,Romney,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,3841.0
53226.0,New Hampshire,84.0,Call 1,Complete,Election day exit poll,0.734083354473114,Newt Gingrich,Female,White,60-64,60-64,Somewhat conservative,Independent,"$200,000 or more",Postgraduate study,Gingrich,,Yes,Federal budget deficit,Yes,,,,,,,Somewhat support,,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,Support,,,,No,White Born-again/Evangelical Christians,,,,I'm satisfied with the Republican candidates,I was not contacted at all,,,Very worried,Favorable,,,,,,,,,Paul,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,1.0,East,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3857.0
53122.0,New Hampshire,72.0,Call 1,Complete,Election day exit poll,1.14070069789886,Newt Gingrich,Female,White,65 or over,65 or over,Very conservative,Republican,"Under $30,000",College graduate,Gingrich,,Yes,The economy,Yes,,,,,,,Strongly support,,Married women,65+,60+,45+,60+,65+,45+,65+,65+,60+,45+,60+,65+,Republican,Conservative,Very conservative,Very conservative,Less than 50 thousand,Less than 50k,Less than 100k,College graduate,More than High school graduate,,,,Support,,,,No,White Born-again/Evangelical Christians,,,,I'm satisfied with the Republican candidates,"Mostly by phone, mail or in person",,,Very worried,Omit,,,,,,,,,Romney,Contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,5.0,East,Version 2,Low Density Rural,Rural,Rural,Very downscale,3254.0
55443.0,New Hampshire,69.0,Call 3,Complete,Election day exit poll,0.681902825832367,Jon Huntsman,Male,White,30-39,30-39,Somewhat conservative,Independent,,College graduate,Omit,,No,Omit,No,,,,,,,Strongly support,,Non married men,30-44,30-59,18-44,30-44,30-39,18-44,18-64,30-44,30-59,17-44,30-44,30-39,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,,,,College graduate,More than High school graduate,,,,Support,,,,No,All others,,,,Omit,I was not contacted at all,,,Very worried,Favorable,,,,,,,,,Omit,Not contacted,,Worried,,,,,State questionnaire,Suburbs,Suburbs,4.0,East,Version 2,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,3055.0
55095.0,New Hampshire,27.0,Call 3,Complete,Election day exit poll,1.04880011081696,Jon Huntsman,Male,White,50-59,50-59,Moderate,Independent,"$100,000-$199,999",Postgraduate study,Huntsman,,No,Omit,Yes,,,,,,,Somewhat oppose,,Married men,45-65,30-59,45+,45-59,50-64,45+,18-64,45-65,30-59,45+,45-59,50-64,Independent/Something else,Moderate/Liberal,Moderate/Liberal,Moderate,100 thousand or more,50k or more,100k or more,College graduate,More than High school graduate,,,,Oppose,,,,No,All others,,,,I'd like to see someone else run for the nomination,I was not contacted at all,,,Somewhat worried,Favorable,,,,,,,,,Gingrich,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Extremely Low Density Rural,Rural,Rural,Very upscale,3444.0
55041.0,New Hampshire,107.0,Call 3,Complete,Election day exit poll,1.03536307811737,Jon Huntsman,Female,White,60-64,60-64,Somewhat conservative,Independent,"$50,000-$99,999",High school or less,Romney,,Yes,The economy,Yes,,,,,,,Strongly oppose,,Married women,45-65,60+,45+,60+,50-64,45+,18-64,45-65,60+,45+,60+,50-64,Independent/Something else,Conservative,Somewhat conservative,Somewhat conservative,50 to 100 thousand,50k or more,Less than 100k,No college degree,High school graduate or less,,,,Oppose,,,,No,White Born-again/Evangelical Christians,,,,I'm satisfied with the Republican candidates,I was not contacted at all,,,Very worried,Favorable,,,,,,,,,Gingrich,Not contacted,,Worried,,,,,State questionnaire,Rural,Small Cities/Rural,3.0,East,Version 2,Low Density Rural,Rural,Rural,Very downscale,3465.0
