id,amd2fl14,govfl14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,backside,call,cdnum,cristpar,cuban3,educ10,educcoll,educhs,educwhit,favcrist,favdem2,favrep2,favscott,geocode,govtdo10,healthca,hillvrep,immdepor,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,jbushpre,married,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,racerel1,rcongang,rconga_1,region,rel5,relign10,rubiopre,samesexm,scottcon,scotthea,sex,sexbyrac,sexwed,sizeplac,sizeplc3,spanishq,stanum,telepoll,track,version,weight,whiterel,whnclinc
11631,Yes, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,4, ,No,College graduate,College graduate,More than High school graduate,White college degree, , , , ,1, , ,Hillary Clinton, , , , , , , , , , , ,No, , , , , , ,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Conservative, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White, , , ,South,Catholic,Catholic, , , , ,Male,White men,Non married men,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 3,1.46547043323517,White Catholics,No
56411,Yes, ,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,9, ,No,College graduate,College graduate,More than High school graduate,Non white college degree, , , , ,2, , , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", , ,Yes, , , , , , , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Moderate,80,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black, , , ,South,Catholic,Catholic, , , , ,Male,Black men, ,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 5,.300134122371674,Non-white,No
10154,Yes, ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete, ,25, ,"Yes, other Hispanic",College graduate,College graduate,More than High school graduate,Non white college degree, , , , ,5, , , , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", , ,Yes, , , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent,Independent Women,All others,Conservative, ,Moderate/Liberal Republicans,Conservative Independents,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino, , , ,South,Catholic,Catholic, , , , ,Female,Latino women, ,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey, ,Version 5,3.21023011207581,Non-white,No
10147,Yes, ,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete, ,20, ,"Yes, other Hispanic",High school graduate,No college degree,High school graduate or less,Non white no college degree, , , , ,5, , , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", , ,Yes, , , , , , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Something else,Independent Men,All others,Liberal, ,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Hispanic/Latino, , , ,South,Protestant/Other Non-Catholic Christian,Protestant, , , , ,Male,Latino men, ,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 5,15.2368755340576,Non-white,No
72722,Yes, ,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 2,8, ,No,College graduate,College graduate,More than High school graduate,Non white college degree, , , , ,2, , , , , , , , , , , , , ,Omit, , , , , , , ,45+,18-64, , , , , , , ,7, , ,Black,Black,National questionnaire,Black,Black, , , ,South,Catholic,Catholic, , , , ,Female,Black women, ,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 5,.494446724653244,Non-white,No
91257,Yes, ,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Call 3,1,Reflect his beliefs,No, , , , , , , , ,1, ,Did not go far enough,It depends,Offered a chance to apply for legal status, , , , , , , , ,Health care, ,Yes, , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats, ,48, , ,Black,Black,State questionnaire,Black,Black, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,Something else,Other, , ,Too conservative,Disapprove,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 2,.464485079050064,Non-white, 
10315,Yes, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete, ,13, ,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , ,3, , , , , , , , , , , ,Approve,Illegal immigration, , ,Worried,Somewhat worried,Disapprove,Strongly disapprove, , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative, ,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White, , , ,South, , , , , , ,Female,White women, ,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Telephone survey, ,Version 1,.502404868602753, , 
11203,Yes, ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete, ,1, ,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , ,1, ,Was about right, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Health care, ,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,White Republican,Moderate, ,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,White, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South, , , , , , ,Male,White men,Married men,Suburbs,Suburbs,English,Florida,Telephone survey, ,Version 2,2.68924689292908, ,No
73368,Yes, ,30-44,30-59,30-39,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 2,5,Help him win elections,No,College graduate,College graduate,More than High school graduate,Non white college degree, , , , ,1, ,Was about right,Hillary Clinton,Offered a chance to apply for legal status,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", ,Health care, ,Yes, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,1,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black, ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,Something else,Other, , ,Too conservative,Disapprove,Female,Black women,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 2,.477387458086014,Non-white,No
72900,Yes, ,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,Call 2,5,Help him win elections,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , , ,1, ,Was about right,It depends,Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,The economy, ,No, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,1,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",South,Protestant/Other Non-Catholic Christian,Protestant, , ,About right,Approve,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Election day exit poll, ,Version 2,.518890857696533,White Protestants,Yes
