id,senia14,govia14,abort2,abortion,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,attend,attend2,backside,braleyli,brnagain,call,cdnum,contactb,contacte,contacti,demprim2,dempri_1,econbett,econdir,econfair,educ10,educcoll,educhs,educwhit,ernstcon,favdem2,favrep2,follow14,follow_1,forobama,geocode,gopprim2,goppri_1,govtdo10,healthca,immdepor,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,latino,marijuan,married,minwage1,nec,nec2,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,rcongang,rconga_1,region,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,teabrn,teaparty,teapar_1,telepoll,terrworr,terworr2,time14fe,time14mt,time14wk,timesen1,track,unfairbr,unfairer,unfairia,version,whnclinc,whtevang,weight
83613,Bruce Braley, , , ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,Not liberal enough,No,Call 2,2, , , ,Hillary Clinton, , , ,Favors the wealthy,College graduate,College graduate,More than High school graduate,White college degree,Too liberal,Unfavorable,Unfavorable, , , ,2,Someone else, , , , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", , ,No,Legal, , , , , , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Liberal,50,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White, , ,Midwest,Yes,Female,White women, ,Rural,Small Cities/Rural, Iowa,Tea Party supporter and not born-again,Somewhat support,Support,Election day exit poll, , , , , , , , , , ,Version 3,No,All others,.641544103622437
83612,Bruce Braley, , , ,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete,Not liberal enough,No,Call 2,2, , , ,Hillary Clinton, , , ,Favors the wealthy,College graduate,College graduate,More than High school graduate,White college degree,Too liberal,Unfavorable,Unfavorable, , , ,2,Someone else, , , , ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", , ,No,Legal, , , , , , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Liberal,50,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White, , ,Midwest,Yes,Female,White women, ,Rural,Small Cities/Rural, Iowa,Tea Party supporter and not born-again,Somewhat support,Support,Election day exit poll, , , , , , , , , , ,Version 3,No,All others,.641544103622437
100165,Bruce Braley, , , ,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, , ,Complete, , ,Call 3,3, , , , , ,Staying about the same,Poor and staying the same, ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , , ,Not too closely,Somewhat or not too closely, ,3, , ,Omit, ,Offered a chance to apply for legal status,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Omit, ,No, , , ,Not so good,Not so good or poor,Not worried,Not too worried,Approve,Somewhat approve, , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Women,White Independent,Liberal,74,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White, , ,Midwest, ,Female,White women, ,Suburbs,Suburbs, Iowa, , , ,Election day exit poll,Not at all worried,Not too or not at all worried,In the last three days,In the last month,In the last week,In the last three days,Generally going in the right direction, , , ,Version 1,Yes, ,.728599905967712
99628,Bruce Braley, ,Illegal,Illegal in most cases,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,White 60+,White 45-64, , ,Complete, , ,Call 3,1,Yes,Yes,Both of them, , , , , ,Postgraduate study,College graduate,More than High school graduate,White college degree, , , , , ,Barack Obama was not a factor,2, , , ,Went too far, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,Health care,No, ,Yes,Favor, , , , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,9,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest, ,Male,White men,Married men,Suburbs,Suburbs, Iowa, , , ,Election day exit poll, , , , , , , ,Yes,Yes,Both of them,Version 2,No, ,.657090604305267
99589,Bruce Braley, , , ,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Omit,Omit,Complete,About right, ,Call 3,2, , , ,Omit, , , ,Omit,Postgraduate study,College graduate,More than High school graduate,White college degree,Too liberal,Favorable,Omit, , , ,1,Omit, , , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", , ,No,Omit, , , , , , , , , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,44,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White, , ,Midwest,Omit,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000", Iowa, ,Somewhat oppose,Oppose,Election day exit poll, , , , , , , , , , ,Version 3,No,All others,.713005244731903
82524,Bruce Braley, ,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, , ,Call 2,1,No,No,Neither of them, , , , , ,High school graduate,No college degree,High school graduate or less,White no college degree, , , , , ,To express support for Barack Obama,1, , , ,Was about right, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,The economy,No, ,No,Favor, , , , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Liberal,51,Moderate/Liberal Republicans,Liberal Independents,White,White,State questionnaire,White,White,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest, ,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000", Iowa, , , ,Election day exit poll, , , , , , , ,Yes,Yes,Both of them,Version 2,Yes, ,.691614091396332
82179,Bruce Braley, , , ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete, , ,Call 2,3, , , , , ,Staying about the same,Good and staying the same, ,High school graduate,No college degree,High school graduate or less,White no college degree, , , ,Somewhat closely,Somewhat or not too closely, ,3, , ,Government should do more to solve problems, ,Deported to the country they came from,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve, , , , , ,Good,Excellent or good,Worried,Somewhat worried,Approve,Somewhat approve, , ,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Moderate,80,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White, , ,Midwest, ,Male,White men, ,"Cities 50,000-500,000","Cities over 50,000", Iowa, , , ,Election day exit poll,Somewhat worried,Very or somewhat worried,Before that,Before that,Before that,Before that,Seriously off on the wrong track, , , ,Version 1,Yes, ,.71235990524292
81515,Bruce Braley, , , ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete, , ,Call 2,1, , , , , ,Getting worse,Worse, ,High school graduate,No college degree,High school graduate or less,White no college degree, , , ,Somewhat closely,Somewhat or not too closely, ,2, , ,Omit, ,Deported to the country they came from,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Omit, ,No, , , ,Good,Excellent or good,Not worried,Not too worried,Disapprove,Strongly disapprove, , ,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,40,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White, , ,Midwest, ,Female,White women, ,Rural,Small Cities/Rural, Iowa, , , ,Election day exit poll,Somewhat worried,Very or somewhat worried,In the last three days,In the last month,In the last week,In the last three days,Omit, , , ,Version 1,No, ,.7997025847435
81267,Bruce Braley, ,Legal,Legal in all cases,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44, , ,Complete, , ,Call 2,2,Yes,Yes,Both of them, , , , , ,High school graduate,No college degree,High school graduate or less,White no college degree, , , , , ,Barack Obama was not a factor,4, , , ,Went too far, ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,No, ,Yes,Favor, , , , , , ,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,42,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest, ,Male,White men,Married men,Rural,Small Cities/Rural, Iowa, , , ,Election day exit poll, , , , , , , ,Yes,Yes,Both of them,Version 2,No, ,.692475259304047
61336,Bruce Braley, ,Legal,Legal in most cases,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, , ,Call 1,1,Yes,Yes,Both of them, , , , , ,College graduate,College graduate,More than High school graduate,White college degree, , , , , ,To express support for Barack Obama,1, , , ,Did not go far enough, ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,Health care,No, ,No,Favor, , , , , , ,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,26,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest, ,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000", Iowa, , , ,Election day exit poll, , , , , , , ,Yes,Yes,Both of them,Version 2,No, ,.691614091396332
