ID,GOVKS14,SENKS14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,BROWNBACKTAXCUT,CALL,CDNUM,CHILD12,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,ETHORMAN,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RCONGANG,RCONGANG2,REGION,ROBERTSOUTOFTOUCH,SAMESEXM12,SENCNTL,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TEABRN,TEAPARTY,TEAPARTY3,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,VERSION,WEIGHT,WHNCLINC,WHTEVANG,ZIPCODE
79015.0,Paul Davis,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,Hurt Kansas,Call 2,3.0,No,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,To express support for Barack Obama,1.0,,Was about right,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Omit,No,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,,24.0,,,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,,Yes,,Female,White women,,Suburbs,Suburbs,Kansas,Neither,Strongly oppose,Oppose,Election day exit poll,Before that,Before that,Before that,Before that,,Version 2,1.00197327136993,No,All others,66062.0
96584.0,Paul Davis,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Yes,Hurt Kansas,Call 3,4.0,Yes,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,Barack Obama was not a factor,4.0,,Omit,,,,,,,,,The economy,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,75.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,Yes,,Female,White women,,Suburbs,Suburbs,Kansas,Born-again but not Tea Party supporter,Neutral,Neutral,Election day exit poll,Before that,In the last month,Before that,In the last month,,Version 2,0.749374091625214,,White Born-again/Evangelical Christians,67037.0
4650.0,Paul Davis,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Hurt Kansas,,1.0,No,High school graduate,No college degree,High school graduate or less,White no college degree,,,,To express opposition to Barack Obama,5.0,,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Health care,No,,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,,,,,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,No,,Female,White women,,Rural,Small Cities/Rural,Kansas,,Omit,Omit,Telephone survey,Before that,In the last month,Before that,In the last month,,Version 2,1.55382239818573,Yes,White Born-again/Evangelical Christians,67401.0
4547.0,Paul Davis,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,4.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,No,Favorable,Favorable,,4.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,No,Worried,Somewhat worried,Approve,Somewhat approve,,,18-44,18-64,,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,,,Midwest,Omit,,Does not matter to me,Female,White women,Non married women,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Telephone survey,,,,,Generally going in the right direction,Version 1,4.45296049118042,No,,67203.0
4498.0,Paul Davis,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,2.0,,High school graduate,No college degree,High school graduate or less,White no college degree,Yes,Favorable,Omit,,2.0,Omit,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Disapprove,,No,No,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Men,White Democrat,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,Midwest,No,,The Democratic Party,Male,White men,Non married men,"Cities 50,000-500,000","Cities over 50,000",Kansas,,,,Telephone survey,,,,,Seriously off on the wrong track,Version 1,0.716076731681824,Yes,,66604.0
4493.0,Paul Davis,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,,3.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,No,Omit,Omit,,1.0,Omit,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Approve,,No,Yes,Worried,Very worried,Disapprove,Strongly disapprove,,,45+,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,,,Midwest,Yes,,Does not matter to me,Male,White men,Married men,Suburbs,Suburbs,Kansas,,,,Telephone survey,,,,,Seriously off on the wrong track,Version 1,0.78366893529892,No,,66223.0
58557.0,Sam Brownback,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Yes,Hurt Kansas,Call 1,2.0,No,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,Barack Obama was not a factor,2.0,,Did not go far enough,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,Health care,No,,,,,,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",45+,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,83.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Angry,"Dissatisfied, but not angry or angry",Midwest,,Yes,,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Kansas,Born-again but not Tea Party supporter,Strongly oppose,Oppose,Election day exit poll,Omit,Omit,Omit,Omit,,Version 2,0.598110377788544,No,White Born-again/Evangelical Christians,66614.0
4654.0,Sam Brownback,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Helped Kansas,,1.0,No,High school graduate,No college degree,High school graduate or less,White no college degree,,,,To express opposition to Barack Obama,5.0,,Went too far,,,,,,,,,Illegal immigration,No,,,,,,Angry,"Dissatisfied, but not angry or angry",45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,No,,Female,White women,,Rural,Small Cities/Rural,Kansas,Born-again but not Tea Party supporter,Somewhat oppose,Oppose,Telephone survey,Before that,In the last month,In the last week,In the last week,,Version 2,1.43672120571136,,White Born-again/Evangelical Christians,67481.0
4660.0,Sam Brownback,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,Hurt Kansas,,1.0,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,To express opposition to Barack Obama,5.0,,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,Health care,No,,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,,No,,Female,White women,,Rural,Small Cities/Rural,Kansas,Both Tea Party supporter and born-again,Somewhat support,Support,Telephone survey,Omit,Omit,Omit,Omit,,Version 2,1.63964796066284,Yes,White Born-again/Evangelical Christians,67661.0
11453.0,Sam Brownback,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,No,,,3.0,No,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,,,1.0,,,,,,,,,,,,No,No,,,,,,,45+,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,White,,,Midwest,,,,Female,White women,Non married women,Suburbs,Suburbs,Kansas,,,,Telephone survey,,,,,,Version 3,0.205466508865356,,All others,66208.0
