id,senmi14,govmi14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,autohh,backside,call,cdnum,detroitb,educ10,educcoll,educhs,educwhit,favdem2,favrep2,forobama,geocode,govtdo10,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,latino,married,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,racerel1,rcongang,rconga_1,region,rel5,relign10,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,stecmi,stecmi2,steconbe,stecondi,telepoll,time14fe,time14mt,time14wk,timesen1,track,unionhh1,version,weight,whiterel,whnclinc,work,worksex,wrkwomen,wrkwom_1
75883,Gary Peters, ,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,No,Complete,Call 2,13, ,High school graduate,No college degree,High school graduate or less,Non white no college degree, , ,To express support for Barack Obama,1, ,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,The economy,No,No, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,156,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,Gotten worse,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,Yes,Male,Black men,Non married men,Suburbs,Suburbs, Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,1.27014708518982,Non-white,No, , , , 
91920,Gary Peters, ,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29, ,Complete,Call 3,6,Good for Michigan,High school graduate,No college degree,High school graduate or less,White no college degree,Omit,Omit, ,4,Omit, , , , , , , , ,Omit, ,No, ,Worried,Somewhat worried,Omit,Omit, , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent, ,1, , ,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Male,White men, ,Rural,Small Cities/Rural, Michigan,Good,Excellent or good,Getting better,Getting better,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Omit, ,Version 1,.824578881263733, , ,Yes,Working men,All others,Working men
76843,Gary Peters, ,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,No,Complete,Call 2,2, ,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, , ,Barack Obama was not a factor,5, ,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white", ,The economy,No,No, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,88,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Gotten worse,Angry,"Dissatisfied, but not angry or angry",Midwest,Protestant/Other Non-Catholic Christian,Other christian,Yes,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural, Michigan, , , , ,Election day exit poll, , , , , ,No,Version 2,1.39957213401794,White Protestants,Yes, , , , 
78557,Gary Peters, ,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64, ,Complete,Call 2,14, ,College graduate,College graduate,More than High school graduate,Non white college degree, , , ,1, , , , , , , , , , , , ,No, , , , , , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,145,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black, , , ,Midwest, , , ,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Michigan, , , , ,Election day exit poll, , , , , ,Yes,Version 3,.866218209266663,Non-white,No, , , , 
1008,Gary Peters, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, ,Complete, ,1,Omit,College graduate,College graduate,More than High school graduate,White college degree,Omit,Unfavorable, ,5,Omit, , , , , , , , ,Omit, ,No, ,Not worried,Not too worried,Approve,Strongly approve, , ,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate, ,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Female,White women, ,Rural,Small Cities/Rural, Michigan,Good,Excellent or good,Staying about the same,Good and staying the same,Telephone survey,Omit,Omit,Omit,Omit,Omit, ,Version 1,1.91541409492493, ,No,No,Non-working women,All others,Non-working women
1168,Gary Peters, ,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,No,Complete, ,14, ,High school graduate,No college degree,High school graduate or less,Non white no college degree, , ,Omit,1, ,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", ,Health care,No,No, , , , ,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal, ,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,Gotten better,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,Protestant/Other Non-Catholic Christian,Other christian,No,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Michigan, , , , ,Telephone survey, , , , , ,No,Version 2,.652967989444733,Non-white,No, , , , 
1110,Gary Peters, ,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,No,Complete, ,8, ,High school graduate,No college degree,High school graduate or less,White no college degree, , ,Omit,2, ,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,No,No, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate, ,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Gotten better,Omit,Omit,Midwest,Catholic,Catholic,No,Female,White women,Non married women,Suburbs,Suburbs, Michigan, , , , ,Telephone survey, , , , , ,No,Version 2,.976608395576477,White Catholics,No, , , , 
57558,Gary Peters, ,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64, ,Complete,Call 1,14, ,Postgraduate study,College graduate,More than High school graduate,Non white college degree, , , ,1, , ,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white", , ,No,No, , , , , , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,147,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black, , , ,Midwest,Protestant/Other Non-Catholic Christian,Other christian, ,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Michigan, , , , ,Election day exit poll, , , , , ,No,Version 3,.418599754571915,Non-white,No, , , , 
90695,Gary Peters, ,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64, ,Complete,Call 3,2,Good for Michigan,High school graduate,No college degree,High school graduate or less,White no college degree,Omit,Omit, ,5,Government should do more to solve problems, ,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove, , , ,Worried,Somewhat worried,Disapprove,Strongly disapprove, , ,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Conservative,87,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White, , , ,Midwest, , , ,Female,White women, ,Suburbs,Suburbs, Michigan,Not so good,Not so good or poor,Staying about the same,Poor and staying the same,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track, ,Version 1,.593548178672791, ,Yes,Yes,Working women,Working women,Working women
57408,Gary Peters, ,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64, ,Complete,Call 1,2,Good for Michigan,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable, ,5,Government should do more to solve problems, , , , , , , , ,Omit, ,No, ,Not worried,Not too worried,Approve,Somewhat approve, , ,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Conservative,88,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black, , , ,Midwest, , , ,Female,Black women, ,"Cities 10,000-50,000",Small Cities/Rural, Michigan,Good,Excellent or good,Staying about the same,Good and staying the same,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction, ,Version 1,.996496558189392, ,No,No,Non-working women,All others,Non-working women
