ID,SENMI14,GOVMI14,AGE,AGE3,AGE8,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,AUTOHH,BACKSIDE,CALL,CDNUM,DETROITBAIL,EDUC10,EDUCCOLL,EDUCHS,EDUCWHITE,FAVDEM2,FAVREP2,FOROBAMAS,GEOCODE,GOVTDO10,HEALTHCARE14,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME14GEN,INCWHITE,ISIS14,ISSUE14,LATINO,MARRIED,NECWORR2,NECWORRY,OBAMA2,OBAMA4,OBAMAANG,OBAMAANG2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACEAI,RACEREL14,RCONGANG,RCONGANG2,REGION,REL5,RELIGN10,RELWHITE,SAMESEXM12,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,STECMI,STECMI2,STECONBET,STECONDIR,TELEPOLL,TIME14FEWD,TIME14MTH,TIME14WK,TIMESEN14,TRACK,UNIONHH12,VERSION,WEIGHT,WHITEREL,WHNCLINC,WORK,WORKSEX,WRKWOMEN,WRKWOMEN4,ZIPCODE
75883.0,Gary Peters,,18-29,18-29,18-24,18-44,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,No,Complete,Call 2,13.0,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,To express support for Barack Obama,1.0,,Was about right,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,The economy,No,No,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,156.0,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,Gotten worse,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,,Yes,Male,Black men,Non married men,Suburbs,Suburbs, Michigan,,,,,Election day exit poll,,,,,,No,Version 2,1.27014708518982,Non-white,No,,,,,48184.0
91920.0,Gary Peters,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,Complete,Call 3,6.0,Good for Michigan,High school graduate,No college degree,High school graduate or less,White no college degree,Omit,Omit,,4.0,Omit,,,,,,,,,Omit,,No,,Worried,Somewhat worried,Omit,Omit,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent,,1.0,,,White,White,State questionnaire,White,White,,,,Midwest,,,,,Male,White men,,Rural,Small Cities/Rural, Michigan,Good,Excellent or good,Getting better,Getting better,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Omit,,Version 1,0.824578881263733,,,Yes,Working men,All others,Working men,49080.0
76843.0,Gary Peters,,18-29,18-29,25-29,18-44,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,No,Complete,Call 2,2.0,,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,,,Barack Obama was not a factor,5.0,,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",,The economy,No,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,88.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,Gotten worse,Angry,"Dissatisfied, but not angry or angry",Midwest,Protestant/Other Non-Catholic Christian,Other christian,Protestant/Other Non-Catholic Christian,Yes,Female,White women,Non married women,"Cities 10,000-50,000",Small Cities/Rural, Michigan,,,,,Election day exit poll,,,,,,No,Version 2,1.39957213401794,White Protestants,Yes,,,,,49442.0
78557.0,Gary Peters,,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,,Complete,Call 2,14.0,,College graduate,College graduate,More than High school graduate,Non white college degree,,,,1.0,,,,,,,,,,,,,No,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,145.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,,Midwest,,,,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Michigan,,,,,Election day exit poll,,,,,,Yes,Version 3,0.866218209266663,Non-white,No,,,,,48221.0
1008.0,Gary Peters,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,Complete,,1.0,Omit,College graduate,College graduate,More than High school graduate,White college degree,Omit,Unfavorable,,5.0,Omit,,,,,,,,,Omit,,No,,Not worried,Not too worried,Approve,Strongly approve,,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Michigan,Good,Excellent or good,Staying about the same,Good and staying the same,Telephone survey,Omit,Omit,Omit,Omit,Omit,,Version 1,1.91541409492493,,No,No,Non-working women,All others,Non-working women,49684.0
1168.0,Gary Peters,,65+,60+,65 or over,45+,60+,65+,Black 60+,Black 60+,Black 65+,No,Complete,,14.0,,High school graduate,No college degree,High school graduate or less,Non white no college degree,,,Omit,1.0,,Went too far,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Health care,No,No,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,Gotten better,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",Midwest,Protestant/Other Non-Catholic Christian,Other christian,,No,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Michigan,,,,,Telephone survey,,,,,,No,Version 2,0.652967989444733,Non-white,No,,,,,48221.0
1110.0,Gary Peters,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,No,Complete,,8.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Omit,2.0,,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",,The economy,No,No,,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,Gotten better,Omit,Omit,Midwest,Catholic,Catholic,Catholic,No,Female,White women,Non married women,Suburbs,Suburbs, Michigan,,,,,Telephone survey,,,,,,No,Version 2,0.976608395576477,White Catholics,No,,,,,48346.0
57558.0,Gary Peters,,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,,Complete,Call 1,14.0,,Postgraduate study,College graduate,More than High school graduate,Non white college degree,,,,1.0,,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",,,No,No,,,,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Moderate,147.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Black,,,,Midwest,Protestant/Other Non-Catholic Christian,Other christian,,,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000", Michigan,,,,,Election day exit poll,,,,,,No,Version 3,0.418599754571915,Non-white,No,,,,,48205.0
90695.0,Gary Peters,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,Complete,Call 3,2.0,Good for Michigan,High school graduate,No college degree,High school graduate or less,White no college degree,Omit,Omit,,5.0,Government should do more to solve problems,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Disapprove,,,,Worried,Somewhat worried,Disapprove,Strongly disapprove,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Conservative,87.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,,,,Midwest,,,,,Female,White women,,Suburbs,Suburbs, Michigan,Not so good,Not so good or poor,Staying about the same,Poor and staying the same,Election day exit poll,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,0.593548178672791,,Yes,Yes,Working women,Working women,Working women,49437.0
57408.0,Gary Peters,,45-65,30-59,45-49,45+,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,,Complete,Call 1,2.0,Good for Michigan,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Favorable,Unfavorable,,5.0,Government should do more to solve problems,,,,,,,,,Omit,,No,,Not worried,Not too worried,Approve,Somewhat approve,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Women,Non-White Democrats,Conservative,88.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Black,,,,Midwest,,,,,Female,Black women,,"Cities 10,000-50,000",Small Cities/Rural, Michigan,Good,Excellent or good,Staying about the same,Good and staying the same,Election day exit poll,Before that,Before that,Before that,Before that,Generally going in the right direction,,Version 1,0.996496558189392,,No,No,Non-working women,All others,Non-working women,49442.0
56375.0,Terri Lynn Land,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,No,Complete,Call 1,11.0,,College graduate,College graduate,More than High school graduate,White college degree,,,Omit,2.0,,Omit,,,,,,,,,Foreign policy,No,,,,,,Angry,"Dissatisfied, but not angry or angry",45+,18-64,,,,,,,,94.0,,,White,White,State questionnaire,White,White,Stayed about the same,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Catholic,Catholic,Catholic,No,Female,White women,,Suburbs,Suburbs, Michigan,,,,,Election day exit poll,,,,,,No,Version 2,0.860974192619324,White Catholics,No,,,,,48390.0
55813.0,Terri Lynn Land,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,Complete,Call 1,6.0,,High school graduate,No college degree,High school graduate or less,White no college degree,,,Barack Obama was not a factor,4.0,,Did not go far enough,,,,,,,,,Health care,No,Yes,,,,,Angry,"Dissatisfied, but not angry or angry",45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,1.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,None,None,None,No,Female,White women,Married women,Rural,Small Cities/Rural, Michigan,,,,,Election day exit poll,,,,,,Yes,Version 2,0.699548721313477,White none,,,,,,49080.0
57452.0,Terri Lynn Land,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,Complete,Call 1,5.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,3.0,Government is doing too many things better left to businesses and individuals,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",,,No,,,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Women,White Independent,Moderate,17.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,Gotten worse,,,Midwest,,,,Yes,Female,White women,,Suburbs,Suburbs, Michigan,,,,,Election day exit poll,,,,,Seriously off on the wrong track,,Version 4,0.761192381381989,,No,,,,,48423.0
55467.0,Terri Lynn Land,,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,Complete,Call 1,1.0,Bad for Michigan,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Unfavorable,Favorable,,5.0,Government is doing too many things better left to businesses and individuals,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Disapprove,,No,,Worried,Very worried,Disapprove,Strongly disapprove,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,23.0,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,,,,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Michigan,Good,Excellent or good,Staying about the same,Good and staying the same,Election day exit poll,Omit,Omit,Omit,Omit,Seriously off on the wrong track,,Version 1,0.733067989349365,,No,No,Non-working women,All others,Non-working women,49930.0
91297.0,Terri Lynn Land,,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,,Complete,Call 3,10.0,Good for Michigan,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,Omit,Omit,,5.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Omit,,No,,Worried,Somewhat worried,Omit,Omit,,,45+,18-64,,,,,,,,130.0,,,White,White,State questionnaire,White,White,,,,Midwest,,,,,Female,White women,,Rural,Small Cities/Rural, Michigan,Not so good,Not so good or poor,Staying about the same,Poor and staying the same,Election day exit poll,In the last three days,In the last month,In the last week,In the last three days,Seriously off on the wrong track,,Version 1,0.616707980632782,,Yes,,,,,48741.0
1128.0,Terri Lynn Land,,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,No,Complete,,3.0,,,,,,,,Barack Obama was not a factor,4.0,,Omit,,,,,,,,,Omit,No,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,Gotten better,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",Midwest,Catholic,Catholic,Catholic,No,Female,White women,Married women,Suburbs,Suburbs, Michigan,,,,,Telephone survey,,,,,,No,Version 2,0.964510858058929,White Catholics,,,,,,49345.0
1080.0,Terri Lynn Land,,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,Complete,,3.0,Good for Michigan,College graduate,College graduate,More than High school graduate,White college degree,Unfavorable,Unfavorable,,5.0,Government is doing too many things better left to businesses and individuals,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Disapprove,,No,,Worried,Somewhat worried,Disapprove,Somewhat disapprove,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,,,,Midwest,,,,,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural, Michigan,Good,Excellent or good,Getting better,Getting better,Telephone survey,Before that,Before that,Before that,Before that,Seriously off on the wrong track,,Version 1,2.11175727844238,,No,Yes,Working men,All others,Working men,49441.0
92597.0,Gary Peters,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,All others,All others,No,Complete,Call 3,2.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,Barack Obama was not a factor,4.0,,Did not go far enough,,,,,,,,,Health care,No,No,,,,,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,Conservative,115.0,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,State questionnaire,Other,American Indian,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,,No,Female,All other races,Non married women,Suburbs,Suburbs, Michigan,,,,,Election day exit poll,,,,,,No,Version 2,0.570038080215454,Non-white,No,,,,,49423.0
92596.0,Gary Peters,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,Non-Black 45-59,All others,All others,No,Complete,Call 3,2.0,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,,,Barack Obama was not a factor,4.0,,Did not go far enough,,,,,,,,,Health care,No,No,,,,,Angry,"Dissatisfied, but not angry or angry",45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Independent Women,All others,Conservative,115.0,Moderate/Liberal Republicans,Conservative Independents,Other,American Indian,State questionnaire,Other,American Indian,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,,No,Female,All other races,Non married women,Suburbs,Suburbs, Michigan,,,,,Election day exit poll,,,,,,No,Version 2,0.570038080215454,Non-white,No,,,,,49423.0
10747.0,Gary Peters,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+,,Complete,,7.0,,Postgraduate study,College graduate,More than High school graduate,White college degree,,,,3.0,,,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white",Approve,The economy,No,,Not worried,Not too worried,Approve,Somewhat approve,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,,,,Midwest,,,,,Male,White men,,Suburbs,Suburbs, Michigan,,,,,Telephone survey,,,,,,,Version 1,0.805157542228699,,No,,,,,48118.0
1151.0,Gary Peters,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,No,Complete,,6.0,,No high school diploma,No college degree,High school graduate or less,Non white no college degree,,,Omit,4.0,,Did not go far enough,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",,Health care,No,Yes,,,,,"Satisfied, but not enthusiastic","Enthusiastic or satisfied, but not enthusiastic",18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,Democratic Men,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Black,Black,State questionnaire,Black,Black,Stayed about the same,Enthusiastic,"Enthusiastic or satisfied, but not enthusiastic",Midwest,Protestant/Other Non-Catholic Christian,Other christian,,Yes,Male,Black men,Married men,"Cities 10,000-50,000",Small Cities/Rural, Michigan,,,,,Telephone survey,,,,,,No,Version 2,1.15046787261963,Non-white,No,,,,,49022.0
