id,senva14,age,age3,age8,age45,age60,age65,ageblack,agebyrac,agebyr_1,attend,attend2,backside,borninva,brnagain,call,cdnum,educ10,educcoll,educhs,educwhit,favdem2,favgille,favrep2,favwarne,forobama,geocode,govtdo10,govthh,gunowner,healthca,inc100k,inc30k,inc50k,income3,income4,income14,incwhite,isis14,issue14,latino,married,movetova,moveto_1,necworr2,necworry,obama2,obama4,obamaang,obamaa_1,over45,over65,party,partybla,partybyr,partyid,partysex,partywhi,phil3,precinct,ptyideo,ptyideo7,qrace3,qraceai,qtype,race,raceai,rcongang,rconga_1,region,samesexm,sex,sexbyrac,sexwed,sizeplac,sizeplc3,stanum,telepoll,terrworr,terworr2,time14fe,time14mt,time14wk,timesen1,track,vaeth14,vaeth14b,vaeth14c,version,vetvoter,whnclinc,whtevang,weight
84819,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,All others,All others, , ,Complete, , ,Call 3,10,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,Unfavorable, ,Unfavorable, , ,2,Government should do more to solve problems,No, , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white",Disapprove, ,No, , , ,Worried,Somewhat worried,Disapprove,Somewhat disapprove, , ,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican,Republican Men,All others,Moderate,57,Conservative Republicans,Mod./Liberal Republicans,Other,Other,State questionnaire,Other,Other, , ,South, ,Male,All other races, ,Suburbs,Suburbs, Virginia,Election day exit poll,Not too worried,Not too or not at all worried,Before that,Before that,Before that,Before that,Generally going in the right direction,Minor changes,Minor changes or no changes at all,A complete overhaul or major changes or minor changes,Version 1,No,No, ,1.37518894672394
84814,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,More than once a week,Weekly,Complete,Born in Virginia,Yes,Call 3,9,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree, ,Omit, ,Omit,Omit,3, , ,Yes,Went too far,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white", ,The economy,No,Yes,I was born in Virginia,More than 10 years, , , , ,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Conservative,80,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,No,Female,White women,Married women,Rural,Small Cities/Rural, Virginia,Election day exit poll, , , , , , , , , , ,Version 2, ,No,White Born-again/Evangelical Christians,.758907973766327
84728,Did not vote,30-44,30-59,40-44,18-44,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,More than once a week,Weekly,Complete,Born in Virginia,Yes,Call 3,9,High school graduate,No college degree,High school graduate or less,White no college degree, ,Unfavorable, ,Unfavorable,To express opposition to Barack Obama,3, , ,Yes,Went too far,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white", ,The economy,No,Yes,I was born in Virginia,More than 10 years, , , , ,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat, ,80, , ,White,White,State questionnaire,White,White,"Dissatisfied, but not angry","Dissatisfied, but not angry or angry",South,No,Female,White women,Married women,Rural,Small Cities/Rural, Virginia,Election day exit poll, , , , , , , , , , ,Version 2, ,Yes,White Born-again/Evangelical Christians,.758907973766327
67655,Did not vote,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64, , ,Complete, , ,Call 2,11,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable, ,Unfavorable, , ,2,Government is doing too many things better left to businesses and individuals,Yes, , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Approve, ,No, , , ,Worried,Somewhat worried,Disapprove,Somewhat disapprove, , ,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Moderate,71,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White, , ,South, ,Female,White women, ,Suburbs,Suburbs, Virginia,Election day exit poll,Somewhat worried,Very or somewhat worried,In the last three days,In the last month,In the last week,In the last three days,Generally going in the right direction,A complete overhaul,A complete overhaul or major changes,A complete overhaul or major changes or minor changes,Version 1,No,No, ,.769026756286621
83739,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others, , ,Complete, ,No,Call 3,7,Postgraduate study,College graduate,More than High school graduate,Non white college degree, , , , , ,4, , , , ,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white", , ,No, , , , , , , , , ,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,Independent Men,All others,Conservative,48,Moderate/Liberal Republicans,Conservative Independents,Other,Asian,National questionnaire,Asian,Asian, , ,South, ,Male,All other races, ,Suburbs,Suburbs, Virginia,Election day exit poll, , , , , , , , , , ,Version 5, ,No,All others,.761928975582123
50600,Did not vote,30-44,30-59,30-39,18-44,30-44,30-39,Non-Black 30-44,All others,All others,Never,Never,Complete,Born in Virginia,No,Call 1,4,Postgraduate study,College graduate,More than High school graduate,Non white college degree, ,Unfavorable, ,Unfavorable,To express support for Barack Obama,5, , ,No,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and non white", ,Illegal immigration,No,No,I was born in Virginia,More than 10 years, , , , ,Angry,"Dissatisfied, but not angry or angry",18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,Independent Women,All others,Conservative,85,Moderate/Liberal Republicans,Conservative Independents,Other,Other,State questionnaire,Other,Other,Angry,"Dissatisfied, but not angry or angry",South,No,Female,All other races,Non married women,Suburbs,Suburbs, Virginia,Election day exit poll, , , , , , , , , , ,Version 2, ,No,All others,1.6963826417923
66611,Did not vote,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64, , ,Complete, , ,Call 2,7,College graduate,College graduate,More than High school graduate,Non white college degree,Unfavorable, ,Unfavorable, , ,4,Government should do more to solve problems, , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", , ,No, , , , , , , , , ,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent,Independent Men,All others,Moderate,48,Moderate/Liberal Republicans,Moderate Independents,Black,Black,National questionnaire,Black,Black, , ,South,No,Male,Black men, ,Suburbs,Suburbs, Virginia,Election day exit poll, , , , , , ,Seriously off on the wrong track, , , ,Version 4, ,No, ,.782372355461121
65303,Did not vote,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,All others,All others,Never,Never,Complete,Born in Virginia,No,Call 2,4,Postgraduate study,College graduate,More than High school graduate,Non white college degree, ,Unfavorable, ,Unfavorable,Barack Obama was not a factor,5, , ,No,Went too far,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and non white", ,Illegal immigration,No,No,I was born in Virginia,More than 10 years, , , , ,Angry,"Dissatisfied, but not angry or angry",45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Something else,Independent Women,All others,Conservative,85,Moderate/Liberal Republicans,Conservative Independents,Other,Other,State questionnaire,Other,Other,Angry,"Dissatisfied, but not angry or angry",South,No,Female,All other races,Non married women,Suburbs,Suburbs, Virginia,Election day exit poll, , , , , , , , , , ,Version 2, ,No,All others,1.52611970901489
66744,Mark Warner,65+,60+,65 or over,45+,60+,65+,Non-Black 60+,White 60+,White 65+, , ,Complete, , ,Call 2,8,Postgraduate study,College graduate,More than High school graduate,White college degree,Unfavorable, ,Unfavorable, , ,1,Government should do more to solve problems,No, , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$100,000-$199,999","$100,000-$199,999","Over $50,000 and white",Disapprove, ,No, , , ,Not worried,Not too worried,Approve,Strongly approve, , ,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Democratic Women,White Democrat,Liberal,4,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White, , ,South, ,Female,White women, ,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,Not too worried,Not too or not at all worried,Before that,Before that,Before that,Before that,Generally going in the right direction,Major changes,A complete overhaul or major changes,A complete overhaul or major changes or minor changes,Version 1,No,No, ,.854691982269287
52628,Mark Warner,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Never,Never,Complete, ,No,Call 1,11,Postgraduate study,College graduate,More than High school graduate,White college degree, , , , , ,1, , , , ,100k or more,"$30,000 or more",50k or more,100 thousand or more,"$200,000 or more","$200,000 or more","Over $50,000 and white", , ,No,No, , , , , , , , ,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Something else,Independent Men,White Independent,Moderate,29,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White, , ,South, ,Male,White men,Non married men,Suburbs,Suburbs, Virginia,Election day exit poll, , , , , , , , , , ,Version 3, ,No,All others,1.0505279302597
