ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSPA16,SENPA16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,GOTV16,GOVTANGR16,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYSEX,PARTYWHITE,QRACE3,QRACEAI,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRADE16,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
139707.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,60-64,Democrat,Moderate,,High school or less,,Yes,Hillary Clinton,Not much,,,,,,,,,,,,,,,,,,,,A lot,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,,Not much or not at all,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,A lot or some,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",19.0,East,Version 5,Central,33908.0
139706.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,,,,,,,,,Omit,Omit,,,,,,,,,,,,,,,,,,,,Omit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,Omit,,,,,,,,,,,,,,,,Omit,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",14.0,East,Version 5,West,15219.0
139704.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,65 or over,Democrat,Moderate,,High school or less,,No,Hillary Clinton,Not at all,,,,,,,,,,,,,,,,,,,,A lot,Black women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democratic Women,Non-White Democrats,Black,Black,Non-white,,Other,,Not much or not at all,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,A lot or some,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",17.0,East,Version 5,Northeast,18017.0
139703.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,65 or over,Democrat,Moderate,,Some college/assoc. degree,,Yes,Hillary Clinton,Not much,,,,,,,,,,,,,,,,,,,,A lot,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,,Not much or not at all,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,A lot or some,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,11.0,East,Version 5,Central,17013.0
139701.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,White,50-59,Independent,Liberal,,College graduate,,No,Hillary Clinton,Not much,,,,,,,,,,,,,,,,,,,,Some,White men,Non married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,,Other,,Not much or not at all,,,,,,,,Moderate/Liberal Republicans,Liberal Independents,,,,,,,A lot or some,National questionnaire,Rural,Small Cities/Rural,5.0,East,Version 5,Central,16830.0
139511.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,60-64,Something else,Moderate,,Some college/assoc. degree,,,,,,,,,,,,,,,,,,,,,,,,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent Women,White Independent,White,White,White,,White suburban women,,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,National questionnaire,Suburbs,Suburbs,15.0,East,Version 4,Northeast,18067.0
139338.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,65 or over,Something else,Conservative,,Postgraduate study,,,Hillary Clinton,,,,,,,,,Deported to the country they came from,,About the same,,,,Yes,No,,,,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent Women,All others,Black,Black,Non-white,,Other,,,,,,,,,,Moderate/Liberal Republicans,Conservative Independents,Only Hillary Clinton,,,,,Creates more U.S. jobs,,National questionnaire,"Cities over 500,000","Cities over 50,000",2.0,East,Version 3,Philadelphia,19138.0
139337.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,White,65 or over,Democrat,Liberal,,High school or less,,,Hillary Clinton,,,,,,,,,Offered a chance to apply for legal status,,Better than life today,,,,Yes,No,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,,White suburban men,,,,,,,,,,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,,,,Takes away U.S. jobs,,National questionnaire,Suburbs,Suburbs,12.0,East,Version 3,West,15005.0
139334.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Black,60-64,Democrat,,,High school or less,,,Hillary Clinton,,,,,,,,,Offered a chance to apply for legal status,,About the same,,,,Yes,No,,,,,,Black men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democratic Men,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,,,,,Only Hillary Clinton,,,,,Creates more U.S. jobs,,National questionnaire,"Cities over 500,000","Cities over 50,000",2.0,East,Version 3,Philadelphia,19132.0
139143.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Hispanic/Latino,65 or over,Democrat,Conservative,"$50,000-$99,999",Some college/assoc. degree,,,,,I strongly favor my candidate,,,,"Dissatisfied, but not angry",Yes,No,,The economy,,Poor,,Has the right experience,,,,Yes,No,,,Latino men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democratic Men,Non-White Democrats,Other,Hispanic/Latino,Non-white,,Other,No,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,Only Hillary Clinton,,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",2.0,East,Version 2,Philadelphia,19133.0
