ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSTX16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,@2WAYPRES16,BRNAGAIN,CLINTONEMAIL,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FAVCRUZ,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,IMMWALL,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,SPANISHQ,ZIPCODE
108721.0,Texas,,,Complete,Telephone survey,0.713416039943695,Hillary Clinton,Female,White,65 or over,Independent,Liberal,"$100,000-$199,999",High school or less,No,,,,,Treats blacks unfairly,Unfavorable,Omit,Omit,,,,,,Help the country,,Oppose,The economy,Omit,,Strongly approve,Has the right experience,Yes,No,,,,Before that,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,,Omit,,,,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,Before that,Before that,,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,South,Version 1,5.0,English,79107.0
108722.0,Texas,,,Complete,Telephone survey,0.958761990070343,Donald Trump,Female,White,65 or over,Republican,Conservative,,College graduate,No,,,,,Omit,Unfavorable,Favorable,Favorable,,,,,,Omit,,Support,Terrorism,Better than life today,,Strongly disapprove,Can bring needed change,Yes,Yes,,,,In October,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,No,,Only Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Both,,In the last month,Before that,,,State questionnaire,Suburbs,Suburbs,32.0,South,Version 1,2.0,English,75002.0
108723.0,Texas,,,Complete,Telephone survey,0.582102715969086,Hillary Clinton,Female,Black,65 or over,Democrat,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,,,,,Treats blacks unfairly,Favorable,Unfavorable,Unfavorable,,,,,,Help the country,,Oppose,Terrorism,Better than life today,,Strongly approve,Has good judgment,Yes,No,,,,In September,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,Before that,Before that,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,1.0,English,75020.0
108724.0,Texas,,,Complete,Telephone survey,0.540248036384583,Hillary Clinton,Male,White,65 or over,Independent,Moderate,"$50,000-$99,999",Some college/assoc. degree,No,,,,,Omit,Favorable,Unfavorable,Unfavorable,,,,,,Help the country,,Oppose,The economy,Better than life today,,Strongly approve,Has the right experience,Yes,No,,,,Before that,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,,Before that,Before that,,,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,South,Version 1,1.0,English,75020.0
108725.0,Texas,,,Complete,Telephone survey,1.6013730764389,Donald Trump,Female,White,45-49,Independent,Conservative,"$250,000 or more",College graduate,No,,,,,Treats blacks unfairly,Unfavorable,Unfavorable,Unfavorable,,,,,,Help the country,,Support,The economy,Worse than life today,,Somewhat disapprove,Can bring needed change,Yes,Yes,,,,In October,,White women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,,Neither,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Both,,In the last month,Before that,,,State questionnaire,Suburbs,Suburbs,26.0,South,Version 1,2.0,English,75022.0
108726.0,Texas,,,Complete,Telephone survey,0.796878457069397,Hillary Clinton,Female,White,60-64,Independent,Liberal,"$30,000-$49,999",Some college/assoc. degree,No,,,,,Treats all people fairly,Favorable,Unfavorable,Unfavorable,,,,,,Help the country,,Oppose,Foreign policy,Better than life today,,Strongly approve,Has the right experience,Yes,No,,,,Before that,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,Yes,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,24.0,South,Version 1,2.0,English,75028.0
108727.0,Texas,,,Complete,Telephone survey,0.712631583213806,Hillary Clinton,Male,Hispanic/Latino,50-59,Independent,Moderate,"$100,000-$199,999",Postgraduate study,Yes,,,,,Treats blacks unfairly,Favorable,Unfavorable,Unfavorable,,,,,,Help the country,,Oppose,The economy,Better than life today,,Strongly approve,Has the right experience,Yes,No,,,,Before that,,Latino men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 1,2.0,English,75033.0
108728.0,Texas,,,Complete,Telephone survey,3.53836464881897,Donald Trump,Male,White,40-44,Independent,Conservative,"$250,000 or more",Some college/assoc. degree,No,,,,,Treats all people fairly,Unfavorable,Unfavorable,Favorable,,,,,,Help the country,,Support,The economy,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White men,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White men non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,No,,Neither,,,,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Only Donald Trump,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 1,2.0,English,75033.0
108729.0,Texas,,,Complete,Telephone survey,2.66215801239014,Hillary Clinton,Male,Hispanic/Latino,30-39,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,Yes,,,,,Treats all people fairly,Favorable,Unfavorable,Unfavorable,,,,,,Help the country,,Oppose,The economy,Better than life today,,Strongly approve,Has the right experience,Yes,No,,,,Before that,,Latino men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 1,2.0,English,75034.0
108730.0,Texas,,,Complete,Telephone survey,0.726040959358215,Donald Trump,Male,White,65 or over,Republican,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,,,,Treats all people fairly,Unfavorable,Favorable,Favorable,,,,,,Hurt the country,,Support,The economy,Better than life today,,Somewhat approve,Has good judgment,No,Yes,,,,Before that,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,No,,Only Donald Trump,,,,Approve,Independent/Something else,Conservative Republicans,Only Donald Trump,,Before that,Before that,,,State questionnaire,Suburbs,Suburbs,3.0,South,Version 1,2.0,English,75035.0
