ID,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BEATTRUMP16,CALL,CDNUM,CICDEM16,CLINHONEST,CLINTONWIN,CLINTONWIN2,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GUNPLCYDEM16NY,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INSPIRES16D,ISSDEM16,LATINO,MARRIED,NYDPRS16,OBAMAPLCY,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYUNITYDEM,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACEREL14,REGION,REL5,RELIGN10,RELWHITE,SANDERSWIN,SANDERSWIN2,SANDHONEST,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,TRADE16,UNFAIRDEM16NY,UNIONHH12,VERSION,VOTENOVCLINTON,VOTENOVSANDERS,WALLST16,WEIGHT,WHNCLINC,WINNOMDEM16,ZIPCODE
546182.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,Call 3,27.0,Hillary Clinton,,Excited,Excited or optimistic,Somewhat worried,Worried,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,Hillary Clinton,,,,,,,,,Health care,No,,Hillary Clinton,,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,Divided the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,55.0,Has the right experience,White,White,State questionnaire,White,White,White,Stayed about the same,East,Catholic,Catholic,Catholic,Concerned,Concerned or scared,,Female,White women,,Suburbs,Suburbs,English, New York,Election day exit poll,,,,,,Bernie Sanders,,Version 2,,,Hurt the U.S. economy,1.14197337627411,,Hillary Clinton,14517.0
546180.0,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Hillary Clinton,Call 3,27.0,,Omit,,,,,High school or less,No college degree,High school graduate or less,White no college degree,5.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and white",Hillary Clinton,Economy/Jobs,No,Yes,Hillary Clinton,Change to less liberal policies,45+,65+,Democrat,Non-black Democrat,White Democrat,Democrat,,White Democrat,Moderate,Moderate or conservative,Moderate,55.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,,East,,,,,,Yes,Female,White women,Married women,Suburbs,Suburbs,English, New York,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,,No,Version 1,Definitely vote for her,Omit,,1.10642635822296,Yes,,14517.0
546179.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Hillary Clinton,Call 3,27.0,,Yes,,,,,Postgraduate study,College graduate,More than High school graduate,White college degree,5.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and white",Hillary Clinton,Health care,No,No,Hillary Clinton,Change to more liberal policies,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,,White Democrat,Somewhat liberal,Liberal,Liberal,55.0,Can win in November,White,White,State questionnaire,White,White,White,,East,,,,,,Yes,Female,White women,Non married women,Suburbs,Suburbs,English, New York,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Omit,,Yes,Version 1,Definitely vote for her,Definitely vote for him,,1.17506515979767,No,,14517.0
546178.0,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,Call 3,27.0,Hillary Clinton,,Optimistic,Excited or optimistic,Very worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,White no college degree,5.0,Hillary Clinton,,,,,,,,,Terrorism,No,,Hillary Clinton,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democrat,Divided the Democratic Party,White Democrat,Somewhat liberal,Liberal,Liberal,55.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,Gotten worse,East,Protestant/Other Non-Catholic Christian,Protestant,Protestant/Other Non-Catholic Christian,Concerned,Concerned or scared,,Female,White women,,Suburbs,Suburbs,English, New York,Election day exit poll,,,,,,Bernie Sanders,,Version 2,,,Hurt the U.S. economy,1.21650624275208,,Hillary Clinton,14517.0
546177.0,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,Call 3,27.0,Hillary Clinton,,Optimistic,Excited or optimistic,Not too worried,Not worried,College graduate,College graduate,More than High school graduate,White college degree,5.0,Hillary Clinton,,,,,,,,,Health care,No,,Hillary Clinton,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Energized the Democratic Party,White Independent,Somewhat liberal,Liberal,Liberal,55.0,Can win in November,White,White,State questionnaire,White,White,White,Gotten worse,East,Catholic,Catholic,Catholic,Concerned,Concerned or scared,,Female,White women,,Suburbs,Suburbs,English, New York,Election day exit poll,,,,,,Bernie Sanders,,Version 2,,,Hurt the U.S. economy,1.14197337627411,,Hillary Clinton,14517.0
546153.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,All others,All others,Complete,,Call 3,15.0,Hillary Clinton,,Optimistic,Excited or optimistic,Very worried,Worried,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,Hillary Clinton,,,,,,,,,Terrorism,No,,Hillary Clinton,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent,Divided the Democratic Party,All others,Moderate,Moderate or conservative,Moderate,4.0,Has the right experience,Other,Asian,State questionnaire,Asian,Non-white,Asian,Gotten worse,East,Protestant/Other Non-Catholic Christian,Other christian,,Optimistic,Excited or optimistic,,Male,All other races,,"Cities over 500,000","Cities over 50,000",English, New York,Election day exit poll,,,,,,Bernie Sanders,,Version 2,,,Hurt the U.S. economy,2.71724414825439,,Hillary Clinton,10458.0
546148.0,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Hillary Clinton,Call 3,15.0,,Yes,,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,Less than 100k,"$30,000 or more",50k or more,50 to 100 thousand,"$50,000-$99,999","$50,000-$99,999","Over $50,000 and non white",Hillary Clinton,Economy/Jobs,No,,Hillary Clinton,Generally continue Barack Obama's policies,45+,18-64,Democrat,Black Democrat,Black Democrat,Democrat,,Non-White Democrats,Moderate,Moderate or conservative,Moderate,4.0,Can win in November,Black,Black,State questionnaire,Black,Non-white,Black,,East,,,,,,Yes,Female,Black women,,"Cities over 500,000","Cities over 50,000",English, New York,Election day exit poll,Before that,Earlier than that,Earlier than that,Earlier than that,Has no effect on U.S. jobs,,No,Version 1,Definitely vote for her,Definitely vote for him,,2.6438684463501,No,,10458.0
546142.0,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,All others,All others,Complete,,Call 3,15.0,Omit,,Concerned,Concerned or scared,Somewhat worried,Worried,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,Hillary Clinton,,,,,,,,,Income inequality,No,,Hillary Clinton,,18-44,18-64,Independent/Something else,Non-black non-Democrat,All Other,Something else,Divided the Democratic Party,All others,Conservative,Moderate or conservative,Conservative,4.0,Cares about people like me,Other,Asian,State questionnaire,Asian,Non-white,Asian,Stayed about the same,East,Protestant/Other Non-Catholic Christian,Other christian,,Concerned,Concerned or scared,,Female,All other races,,"Cities over 500,000","Cities over 50,000",English, New York,Election day exit poll,,,,,,Bernie Sanders,,Version 2,,,Hurt the U.S. economy,2.533127784729,,Hillary Clinton,10458.0
546136.0,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,Hillary Clinton,Call 3,15.0,,Yes,,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Hillary Clinton,Health care,No,No,Hillary Clinton,Change to less liberal policies,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democrat,,Non-White Democrats,Very liberal,Liberal,Liberal,4.0,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Black,,East,,,,,,Yes,Female,Black women,Non married women,"Cities over 500,000","Cities over 50,000",English, New York,Election day exit poll,In the last few days,Last few days,In the last month,This month,Creates more U.S. jobs,,No,Version 1,Probably vote for her,Probably vote for him,,2.60389423370361,No,,10458.0
546133.0,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,Call 3,15.0,Hillary Clinton,,Excited,Excited or optimistic,Very worried,Worried,College graduate,College graduate,More than High school graduate,White college degree,1.0,Hillary Clinton,,,,,,,,,Income inequality,No,,Hillary Clinton,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent,Energized the Democratic Party,White Independent,Moderate,Moderate or conservative,Moderate,4.0,Honest and trustworthy,White,White,State questionnaire,White,White,White,Gotten better,East,Jewish,Jewish,Jewish,Scared,Concerned or scared,,Female,White women,,"Cities over 500,000","Cities over 50,000",English, New York,Election day exit poll,,,,,,Bernie Sanders,,Version 2,,,Help the U.S. economy,2.7605721950531,,Hillary Clinton,10458.0
