ID,ATTEND,ATTEND2,BACKSIDE,BREAK16PRID,BREAKFACTD,BREAKIMPD,CALL,CDNUM,CLINTONLIB,CONTACT16PRI,ECONFAIR,ECONWORR,ECOWORR2,EDUC12R,EDUCCOLL,EDUCHS,EDUCWHITE,GEOCODE,GUNCHOICE,GUNOWNER12,HONESTDEM16,HONESTDEM16CLIN,HONESTDEM16SAND,INC100K,INC30K,INC50K,INCOME3,INCOME4,INCOME16,INCWHITE,INTCRISISDEM16,INTCRISISDEMCLIN,INTCRISISDEMSANDERS,ISSDEM16,MARRIED,OBAMAPLCY,OUTSIDER16,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PARTYWHITE,PHIL4,PHIL2D,PHIL3X,PRECINCT,PREVPRIDEM,QLT16DEMPRI,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEREL14,RACERELCLIN,RACERELDEM16,RACERELSANDERS,REGION,SANDERSLIB,SATHCLIN,SATSANDERS,SCDPRS16,SCOTUSDEM16,SEX,SEXBYRACE,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIMENH16,TIMEPRIFEWDAYS,TIMEPRIMTH,TIMEPRIWK,VERSION,WEIGHT,WHNCLINC,XAGE,XAGE3,XAGE8,XAGE45,XAGE49,XAGE60,XAGE65,XAGEBYRACE,ZIPCODE
139430.0,More than once a week,Weekly,Complete,,,,Call 3,3.0,About right,Yes,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,90.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.309600174427032,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,29640.0
139429.0,More than once a week,Weekly,Complete,,,,Call 3,3.0,About right,Yes,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,90.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.309600174427032,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,29640.0
139428.0,Omit,Omit,Complete,,,,Call 3,3.0,About right,Yes,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,1.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,90.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.303347259759903,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,29640.0
139427.0,A few times a month,Occasionally,Complete,,,,Call 3,3.0,About right,No,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,1.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Terrorism,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,90.0,Yes,Cares about people like me,Black,Black,State questionnaire,Black,Non-white,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.309600174427032,No,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,29640.0
139426.0,A few times a year,Occasionally,Complete,,,,Call 3,3.0,About right,No,,,,High school or less,No college degree,High school graduate or less,White no college degree,1.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Omit,,,Have experience in politics,Democrat,Non-black Democrat,White Democrat,Democrat,White Democrat,Moderate,Moderate or conservative,Moderate,90.0,Yes,Omit,White,White,State questionnaire,White,White,Gotten better,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Too liberal,Satisifed,Satisifed,Hillary Clinton,,Female,White women,,Suburbs,Suburbs,South Carolina,Election day exit poll,,,,,Version 2,0.575600206851959,Yes,17-29,17-29,25-29,17-44,17-49,17-29,25-29,White 17-29,29640.0
139412.0,A few times a month,Occasionally,Complete,,,,Call 3,3.0,About right,Yes,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Income inequality,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,64.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Male,Black men,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,1.45023322105408,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44,29646.0
139410.0,Once a week,Weekly,Complete,,,,Call 3,3.0,About right,Yes,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,,,,,,Less than 100k,"Under $30,000",Less than 50k,Less than 50 thousand,"Under $50,000","Under $30,000","Under $50,000 and non white",Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Economy/Jobs,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,64.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,Too liberal,Satisifed,Dissatisfied,Hillary Clinton,,Male,Black men,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,1.42094326019287,No,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,29646.0
139408.0,More than once a week,Weekly,Complete,,,,Call 3,3.0,About right,No,,,,College graduate,College graduate,More than High school graduate,Non white college degree,2.0,,,,,,,,,,,,,Only Clinton,Only Clinton or Both of them,Only Clinton or Neither of them,Health care,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Moderate,Moderate or conservative,Moderate,64.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Sanders or Neither of them,Neither of them,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Female,Black women,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,1.39722681045532,No,30-44,30-59,40-44,17-44,17-49,30-44,40-49,Black 30-44,29646.0
139405.0,Once a week,Weekly,Complete,,,,Call 3,3.0,About right,Yes,,,,Some college/assoc. degree,No college degree,More than High school graduate,Non white no college degree,2.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Economy/Jobs,,,Have experience in politics,Democrat,Black Democrat,Black Democrat,Democrat,Non-White Democrats,Somewhat liberal,Liberal,Liberal,64.0,Yes,Has the right experience,Black,Black,State questionnaire,Black,Non-white,Gotten worse,Only Clinton or Both of them,Both of them,Only Sanders or Both of them,South,Not liberal enough,Satisifed,Satisifed,Hillary Clinton,,Female,Black women,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,1.39722681045532,No,30-44,30-59,30-39,17-44,17-49,30-44,30-39,Black 30-44,29646.0
139404.0,Once a week,Weekly,Complete,,,,Call 3,3.0,Not liberal enough,Yes,,,,High school or less,No college degree,High school graduate or less,Non white no college degree,2.0,,,,,,Less than 100k,"$30,000 or more",Less than 50k,Less than 50 thousand,"Under $50,000","$30,000-$49,999","Under $50,000 and non white",Both of them,Only Clinton or Both of them,Only Sanders or Both of them,Income inequality,,,Have experience in politics,Independent/Something else,Black non-Democrat,Black Independent,Independent,All others,Very liberal,Liberal,Liberal,64.0,No,Honest and trustworthy,Black,Black,State questionnaire,Black,Non-white,Stayed about the same,Only Clinton or Both of them,Only Clinton,Only Clinton or Neither of them,South,Not liberal enough,Satisifed,Dissatisfied,Hillary Clinton,,Male,Black men,,Rural,Small Cities/Rural,South Carolina,Election day exit poll,,,,,Version 2,1.56864726543427,No,17-29,17-29,17-24,17-44,17-49,17-29,17-24,Black 17-29,29646.0
