ID,SENTN18,GOVTN18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BLACKBURNLIB,BREDESENLIB,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBLACKBURN,FAVBREDESEN,FAVDEM2,FAVMCONL,FAVPARTY,FAVPELOSI,FAVREP2,FAVSENTN18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,GUNOWNER12,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,QUALSEN18,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
53148.0,Other,Other,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,,,Yes,Call 2,8.0,,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,,5.0,Other,,Major changes,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",The economy,,No,No,Omit,Omit,45+,18-64,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,Independent Women,All others,Conservative,83.0,Moderate/Liberal Republicans,Conservative Independents,Black,Black,State questionnaire,,Black,Non-white,Black,South,Justified,Other,Female,Black women,,,Non married women,Suburbs,Suburbs,Tennessee,Other,No impact,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Didn't vote,1.78890907764435,No,All others,,,38138.0
61170.0,Other,Other,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,,,,Call 3,5.0,,Omit,,,,,,Unfavorable,Unfavorable,Unfavorable,,Neither party,,Unfavorable,Neither,Better,Donald Trump was not a factor,No,3.0,Other,,,Omit,,,,,,,,,No,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Conservative,12.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,,Black,Non-white,Black,South,,Other,Female,Black women,Very serious,Serious,Non married women,"Cities over 500,000","Cities over 50,000",Tennessee,Other,,Election day exit poll,,,,Omit,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,7.79033136367798,,,Somewhat important,Important,37207.0
61802.0,Other,Other,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,,Call 3,8.0,,Omit,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Unfavorable,Unfavorable,Unfavorable,,Neither party,,Unfavorable,Neither,About the same,Donald Trump was not a factor,No,5.0,Other,,,No,,,,,,,,,No,Yes,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,80.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,,White,White,White,South,,Other,Female,White women,Very serious,Serious,Married women,"Cities over 500,000","Cities over 50,000",Tennessee,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,2.02700042724609,,,Somewhat important,Important,38135.0
37264.0,Marsha Blackburn,Other,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,,,,Call 1,3.0,,The Republican Party,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,Favorable,Unfavorable,Unfavorable,,Only Republican Party,,Favorable,Only Marsha Blackburn,Better,To express support for Donald Trump,Yes,2.0,Other,,,No,,,,,,,,,No,No,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,67.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,,White,White,White,South,,The Republican candidate,Male,White men,Very serious,Serious,Non married men,Rural,Small Cities/Rural,Tennessee,Other,,Election day exit poll,,,,Helped,Strongly or somewhat approve,Strongly approve,,Version 2,,2.07274103164673,,,Very important,Important,37354.0
61460.0,Marsha Blackburn,Other,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,Call 3,7.0,,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Favorable,Unfavorable,Favorable,,Both parties,,Favorable,Only Marsha Blackburn,About the same,Donald Trump was not a factor,No,3.0,Other,,,No,,,,,,,,,No,Yes,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,109.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,,White,White,White,South,,The Republican candidate,Male,White men,Very serious,Serious,Married men,Suburbs,Suburbs,Tennessee,White suburban men,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,2.07274103164673,,,Very important,Important,37062.0
39971.0,Marsha Blackburn,Other,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,About right,Too liberal,No,Call 1,3.0,The Republican Party,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,Unfavorable,,Unfavorable,,,,,,1.0,Other,Yes,,,,,,,,,Immigration,Support,No,Yes,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,100.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,Cares about people like me,White,White,White,South,,The Republican candidate,Male,White men,,,Married men,Suburbs,Suburbs,Tennessee,White suburban men,,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,,Version 3,,2.42405295372009,,All others,,,37779.0
26462.0,Phil Bredesen,Other,18-29,18-29,18-24,18-44,18-49,18-29,18-24,,,,Complete,,,,,9.0,,,Attended college but received no degree,No college degree,More than high school graduate,,,,,Unfavorable,,Neither party,,Unfavorable,,Worse,,,5.0,Other,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000",,,,,,Poor,Not so good or poor,18-44,18-64,Independent/Something else,,,Independent women,Independent,Independent Women,,,,,,,,National questionnaire,,,,,South,,The Democratic candidate,Female,,,,,"Cities over 500,000","Cities over 50,000",Tennessee,Other,Hurt,Telephone survey,,,,Hurt,,,,Version 4,,17.6126041412354,,,,,38109.0
28702.0,Phil Bredesen,Other,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,,,,,7.0,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Omit,,,,,,4.0,Other,,Minor changes,No,,,,,,,The economy,,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,,White,White,,South,Politically motivated,The Democratic candidate,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,,Telephone survey,,,,,,,Omit,Version 2,,22.2688941955566,,,,,37040.0
34933.0,Phil Bredesen,Other,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,,,Yes,Call 1,7.0,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,,4.0,Other,,Major changes,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Omit,,No,No,Poor,Not so good or poor,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,,69.0,,,Black,Black,State questionnaire,,Black,Non-white,Black,South,Politically motivated,The Democratic candidate,Female,Black women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,Hurt,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Hillary Clinton,2.08390021324158,No,All others,,,37040.0
60765.0,Phil Bredesen,Other,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,,,,Call 3,8.0,,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Unfavorable,Favorable,Favorable,,Both parties,,Favorable,Only Phil Bredesen,Worse,Donald Trump was not a factor,No,4.0,Other,,,No,,,,,,,,,No,Yes,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,65.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,,Black,Non-white,Black,South,,The Democratic candidate,Male,Black men,Very serious,Serious,Married men,"Cities 50,000-500,000","Cities over 50,000",Tennessee,Other,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Strongly disapprove,,Version 2,,2.11410164833069,,,Somewhat important,Important,38305.0
