ID,SENTX18,GOVTX18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BORNINTX14,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,CONTROLSEN,CRUZLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVCRUZ,FAVDEM2,FAVMCONL,FAVOROURKE,FAVPARTY,FAVPELOSI,FAVREP2,FAVSENTX18,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMMWALL,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVTX18,KAVTX18A,KAVTX18B,KNEEL18,LATINO,MARRIED,MOVETOTX14,NEC,NEC2,OROURKELIB,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACEFACTOR,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
10061.0,Beto O'Rourke,Lupe Valdez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Moved to Texas,Yes,,20.0,The Republican Party,,About right,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,Unfavorable,,,Favorable,,,,,,6.0,The Democratic candidate,Yes,,The Democratic Party,Support,,,,,,,,,The most important factor,Important,A factor,Disapprove,,,10+ years but not born here,,,Too conservative,45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,Minorities are favored over whites,South,,The Democratic candidate,Male,Latino men,,,,Suburbs,Suburbs,,Texas,Other,,Telephone survey,,,,,,,,Version 3,,1.93329250812531,,All others,,,78023.0
10062.0,Ted Cruz,Greg Abbott,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,White 60+,White 45-64,Complete,Moved to Texas,Yes,,14.0,The Republican Party,,About right,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,Favorable,,,Unfavorable,,,,,,3.0,The Republican candidate,No,,The Republican Party,Support,,,,,,,,,An important factor,Important,A factor,Disapprove,,,10+ years but not born here,,,Too liberal,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,,No group is favored,South,,The Republican candidate,Female,White women,,,,Suburbs,Suburbs,,Texas,White suburban women,,Telephone survey,,,,,,,,Version 3,,0.632908403873444,,White Born-again/Evangelical Christians,,,77541.0
10063.0,Ted Cruz,Greg Abbott,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Moved to Texas,Yes,,12.0,The Republican Party,,About right,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,Favorable,,,Unfavorable,,,,,,5.0,The Republican candidate,Yes,,Omit,Support,,,,,,,,,A minor factor,Not important,A factor,Disapprove,,,10+ years but not born here,,,Too liberal,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,,No group is favored,South,,The Republican candidate,Female,White women,,,,Suburbs,Suburbs,,Texas,White suburban women,,Telephone survey,,,,,,,,Version 3,,1.06399118900299,,White Born-again/Evangelical Christians,,,76049.0
10064.0,Ted Cruz,Greg Abbott,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Born in Texas,Yes,,14.0,The Republican Party,,About right,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,Favorable,,,Unfavorable,,,,,,3.0,The Republican candidate,Yes,,The Republican Party,Support,,,,,,,,,An important factor,Important,A factor,Disapprove,,,I was born in Texas,,,Too liberal,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,State questionnaire,White,White,,No group is favored,South,,The Republican candidate,Male,White men,,,,Suburbs,Suburbs,,Texas,White suburban men,,Telephone survey,,,,,,,,Version 3,,1.68279254436493,,White Born-again/Evangelical Christians,,,77515.0
10065.0,Beto O'Rourke,Lupe Valdez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Born in Texas,No,,6.0,The Democratic Party,,Too conservative,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,Unfavorable,,,Unfavorable,,,,,,1.0,The Democratic candidate,Yes,,The Democratic Party,Oppose,,,,,,,,,A minor factor,Not important,A factor,Approve,,,I was born in Texas,,,About right,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,,Whites are favored over minorities,South,,The Democratic candidate,Female,White women,,,,Suburbs,Suburbs,,Texas,White suburban women,,Telephone survey,,,,,,,,Version 3,,1.23559021949768,,All others,,,75165.0
10066.0,Ted Cruz,Greg Abbott,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Moved to Texas,Yes,,20.0,The Republican Party,,About right,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,Favorable,,,Unfavorable,,,,,,6.0,The Republican candidate,No,,The Republican Party,Support,,,,,,,,,An important factor,Important,A factor,Disapprove,,,10+ years but not born here,,,About right,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,White,,Omit,South,,The Republican candidate,Female,White women,,,,"Cities over 500,000","Cities over 50,000",,Texas,Other,,Telephone survey,,,,,,,,Version 3,,0.962373197078705,,White Born-again/Evangelical Christians,,,78216.0
10067.0,Ted Cruz,Greg Abbott,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,Complete,Born in Texas,Yes,,6.0,The Republican Party,,About right,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,Omit,,,Omit,,,,,,1.0,The Republican candidate,Yes,,The Democratic Party,Support,,,,,,,,,A minor factor,Not important,A factor,Disapprove,,,I was born in Texas,,,Too liberal,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,All others,Moderate,,Conservative Republicans,Mod./Liberal Republicans,Other,American Indian,State questionnaire,Other,Non-white,,No group is favored,South,,The Republican candidate,Female,All other races,,,,Suburbs,Suburbs,,Texas,Other,,Telephone survey,,,,,,,,Version 3,,0.654028177261353,,All others,,,75119.0
10068.0,Ted Cruz,Greg Abbott,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Born in Texas,Yes,,32.0,The Republican Party,,Too conservative,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,Favorable,,,Unfavorable,,,,,,2.0,The Republican candidate,No,,The Republican Party,Support,,,,,,,,,An important factor,Important,A factor,Disapprove,,,I was born in Texas,,,Too liberal,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Conservative,,Independent/Something else,Conservative Republicans,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,,No group is favored,South,,The Republican candidate,Male,Latino men,,,,"Cities over 500,000","Cities over 50,000",,Texas,Other,,Telephone survey,,,,,,,,Version 3,,1.61055278778076,,All others,,,75225.0
10069.0,Ted Cruz,Greg Abbott,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Born in Texas,Yes,,6.0,The Republican Party,,About right,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,Favorable,,,Unfavorable,,,,,,2.0,The Republican candidate,Yes,,Omit,Support,,,,,,,,,The most important factor,Important,A factor,Disapprove,,,I was born in Texas,,,Too liberal,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,,No group is favored,South,,The Republican candidate,Male,White men,,,,"Cities 50,000-500,000","Cities over 50,000",,Texas,Other,,Telephone survey,,,,,,,,Version 3,,0.912265837192535,,White Born-again/Evangelical Christians,,,76010.0
10070.0,Ted Cruz,Greg Abbott,,,,,,,,,,,Complete,Born in Texas,Yes,,24.0,The Republican Party,,About right,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,Favorable,,,Unfavorable,,,,,,2.0,The Republican candidate,Yes,,The Republican Party,Support,,,,,,,,,An important factor,Important,A factor,Disapprove,,,I was born in Texas,,,Too liberal,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,,Minorities are favored over whites,South,,The Republican candidate,Female,White women,,,,Suburbs,Suburbs,,Texas,White suburban women,,Telephone survey,,,,,,,,Version 3,,0.696763932704926,,White Born-again/Evangelical Christians,,,76092.0
