ID,SENWI18,GOVWI18,ACT10WI,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVEVERS,FAVGOVWI18,FAVPARTY,FAVREP2,FAVWALKER,FINSIT2,FORTRUMPS,FTVOTER18,GEOCODE,GOV,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,UNIONHH12,VERSION,VOTE2016,WEIGHT,WHNCLINC,WOMEN,WOMEN2,ZIPCODE
36424.0,Tammy Baldwin,,Repealed,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,6.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Favorable,Omit,Omit,Only Democratic Party,Unfavorable,Omit,About the same,To express opposition to Donald Trump,No,4.0,,,Omit,,,,,,,,No,,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,49.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,White,White,Midwest,,The Democratic candidate,Female,White women,Somewhat serious,Serious,,Rural,Small Cities/Rural,Wisconsin,Other,,Election day exit poll,,,,Hurt,,,,Yes,Version 2,,0.378196269273758,,Somewhat important,Important,54220.0
51473.0,Tammy Baldwin,,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete,Call 2,3.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,5.0,,,,,,,,,,,No,,Not so good,Not so good or poor,45+,65+,,,,,,,,,15.0,,,White,White,State questionnaire,White,White,White,Midwest,,The Democratic candidate,Male,White men,,,,Rural,Small Cities/Rural,Wisconsin,Other,,Election day exit poll,In the last month,In the last month,Before that,,,,,,Version 1,,1.99508655071259,,,,54626.0
50613.0,Tammy Baldwin,,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 2,6.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,,4.0,,Minor changes,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",The economy,No,Yes,Not so good,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,109.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,Midwest,Politically motivated,The Democratic candidate,Female,White women,,,Married women,"Cities 10,000-50,000",Small Cities/Rural,Wisconsin,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,,Version 1,Hillary Clinton,0.399207174777985,No,,,54956.0
50602.0,Tammy Baldwin,,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,6.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,5.0,,Major changes,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,No,Yes,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,107.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Female,White women,,,Married women,Rural,Small Cities/Rural,Wisconsin,Other,No impact,Election day exit poll,In the last week,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,Too tough,,Version 1,Hillary Clinton,1.08553910255432,Yes,,,54966.0
66702.0,Tammy Baldwin,,,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Not complete,Call 3,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,No,,Poor,Not so good or poor,18-44,18-64,,,,,,,,,16.0,,,White,White,State questionnaire,White,White,White,Midwest,,The Democratic candidate,Female,White women,,,,"Cities 50,000-500,000","Cities over 50,000",Wisconsin,Other,,Election day exit poll,Before that,Before that,Before that,,,,,,Version 1,,0.650231420993805,,,,53716.0
36248.0,Tammy Baldwin,,Repealed,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,4.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Favorable,Omit,Omit,Only Democratic Party,Unfavorable,Omit,Worse,Donald Trump was not a factor,No,1.0,,,Yes,,,,,,,,No,,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Conservative,61.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,Midwest,,The Democratic candidate,Male,Black men,Very serious,Serious,,"Cities over 500,000","Cities over 50,000",Wisconsin,Other,,Election day exit poll,,,,Hurt,,,,No,Version 2,,0.349397450685501,,Somewhat important,Important,53223.0
66091.0,Tammy Baldwin,,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 3,6.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,,4.0,,Major changes,,,,,,,,Health care,No,Yes,Not so good,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,,49.0,,,White,White,State questionnaire,White,White,White,Midwest,Omit,The Democratic candidate,Female,White women,,,Married women,Rural,Small Cities/Rural,Wisconsin,Other,Omit,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,,Version 1,Hillary Clinton,0.378196269273758,No,,,54220.0
38504.0,Tammy Baldwin,,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 1,1.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,2.0,,Omit,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,85.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,Midwest,Justified,The Democratic candidate,Male,White men,,,Married men,Suburbs,Suburbs,Wisconsin,White suburban men,Omit,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,,Version 1,Omit,0.580215096473694,No,,,53177.0
49219.0,Tammy Baldwin,,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Not complete,Call 2,7.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,6.0,,,,,,,,,,,No,,Good,Excellent or good,45+,65+,,,,,,,,,12.0,,,White,White,State questionnaire,White,White,White,Midwest,,The Democratic candidate,Male,White men,,,,Rural,Small Cities/Rural,Wisconsin,Other,,Election day exit poll,Before that,Before that,Before that,,,,,,Version 1,,0.810746252536774,,,,54446.0
67002.0,Tammy Baldwin,,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 3,1.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,Yes,1.0,,,,,,,,,,,Yes,,,,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,56.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,Midwest,,The Democratic candidate,Female,Latino women,,,,Suburbs,Suburbs,Wisconsin,Other,,Election day exit poll,,,,,Strongly or somewhat disapprove,Somewhat disapprove,,,Version 1,Hillary Clinton,0.344917982816696,,,,53132.0
