ID,WEIGHT,PRSNC24,GOVNC24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CHALLENGEELECTION,CHILD12,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVGOVNC24,FAVHARRIS,FAVPRES24,FAVROBINSON,FAVSTEIN,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HANDLERACEISS24,HURRICANEAID,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,VERSION,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
23213.0,3.223797269,Kamala Harris,Josh Stein,,,45-65,30-59,50-64,50-59,45+,45-59,50-64,,Women 45-64,,,Women 45+,Complete,,,,,12.0,,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,,,,,,,Favorable,Only Harris,,,Unfavorable,,For your candidate,Suburban women,3.0,,,The state of democracy,,,,,18-64,,Democrat,,,Democratic women,Democrat,,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,,Hispanic/Latino,National questionnaire,,Non-black,,,South,Female,,Suburbs,Suburbs, North Carolina,,Telephone survey,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Version 1,Did not vote,Early in-person,,28078.0
7837.0,0.085495823,Kamala Harris,,Legal,Legal in most cases,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,,10.0,,Yes,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,Only Stein,,,Unfavorable,Favorable,,,,Suburban women,5.0,Kamala Harris,,,No,Good,Excellent or good,No,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person,,28115.0
7911.0,0.318029575,Kamala Harris,,Illegal,Illegal in all cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,,,,No,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,Omit,No,Very confident,Very confident or Somewhat confident,Only Stein,,,Unfavorable,Favorable,,,,Suburban women,2.0,Kamala Harris,,,No,Good,Excellent or good,No,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person,,27513.0
8208.0,0.392398803,Kamala Harris,,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Black 60+,Women 65+,Black 60+,Black 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,,,,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,Omit,,,Omit,Omit,,,,Rural women,1.0,Kamala Harris,,,No,Not so good,Not so good or poor,No,65+,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Female,Black women,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person,,27845.0
8251.0,0.278746337,Kamala Harris,,Legal,Legal in most cases,18-29,18-29,18-34,18-24,18-44,18-29,18-24,Black 18-29,Men 18-29,Black 18-29,Black 18-29,Men 18-44,Complete,Strongly or somewhat approve,Somewhat approve,,,,,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,Omit,,,Omit,Omit,,,,Suburban men,3.0,Kamala Harris,,,No,Not so good,Not so good or poor,No,18-64,Men without children,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Male,Black men,Suburbs,Suburbs, North Carolina,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person,,28105.0
8435.0,0.329652266,Kamala Harris,,,,18-29,18-29,18-34,18-24,18-44,18-29,18-24,Non-Black 18-29,Women 18-29,All others,All others,Women 18-44,Complete,,,No,,14.0,Accept the results,,Somewhat secure,Very secure or Somewhat secure,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,Favorable,Only Harris,,,Unfavorable,About the same,For your candidate,Urban women,3.0,,No,The state of democracy,No,,,,18-64,,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Can bring needed change,Other,Asian,State questionnaire,Asian,Non-black,Non-white,Asian,South,Female,All other races,"Cities over 500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Did not vote,By mail,All others,28277.0
8916.0,0.274698008,Kamala Harris,,,,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Black 30-44,Women 30-44,Black 30-44,Black 30-44,Women 18-44,Complete,,,No,,,Accept the results,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,Favorable,Only Harris,,,Unfavorable,Better today,For your candidate,Suburban women,2.0,,Yes,Immigration,No,,,,18-64,,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has the ability to lead,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Female,Black women,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Omit,Early in-person,All others,27513.0
16031.0,0.045548599,Kamala Harris,,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,Yes,,11.0,,,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,,,,,,,,,About the same,,Rural women,5.0,,,,No,,,,65+,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,Non-black,White,White,South,Female,White women,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,Before that,Before that,Before that,,,Version 4,Joe Biden,Early in-person,White Born-again/Evangelical Christians,28139.0
16036.0,0.184076404,Kamala Harris,,,,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Women 45-64,All others,All others,Women 45+,Complete,,,No,,14.0,,,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,,,,,,,,,About the same,,Urban women,3.0,,,,No,,,,18-64,,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,Asian,National questionnaire,Asian,Non-black,Non-white,Asian,South,Female,All other races,"Cities over 500,000","Cities over 50,000", North Carolina,Other,Telephone survey,Before that,Before that,Before that,,,Version 4,Joe Biden,Early in-person,All others,28207.0
18353.0,0.669374014,Kamala Harris,,,,45-65,30-59,50-64,60-64,45+,45-59,50-64,Black 45-59,Women 45-64,Black 45-59,Black 45-64,Women 45+,Complete,,,Yes,,1.0,,No,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,,,,,Urban women,1.0,,,,No,,,,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,National questionnaire,Black,Black,Non-white,Black,South,Female,Black women,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,,Version 3,Joe Biden,Early in-person,All others,27803.0
18439.0,0.243066487,Kamala Harris,,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,Yes,,11.0,,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,,,,Urban women,5.0,,,,No,,,,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,National questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,,Version 3,Joe Biden,Early in-person,White Born-again/Evangelical Christians,28806.0
20830.0,0.890752333,Kamala Harris,,Legal,Legal in most cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Black 30-44,Women 30-44,Black 30-44,Black 30-44,Women 18-44,Complete,Strongly or somewhat approve,Strongly approve,,,9.0,,,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,,,,Suburban women,1.0,,,,No,Not so good,Not so good or poor,No,18-64,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,National questionnaire,Black,Black,Non-white,Black,South,Female,Black women,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,,Version 2,Joe Biden,Early in-person,,28390.0
20861.0,0.077156985,Kamala Harris,,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,,10.0,,,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,,,,,,,Rural women,5.0,,,,No,Good,Excellent or good,No,65+,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,National questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,,Version 2,Joe Biden,By mail,,28655.0
23236.0,0.691586013,Kamala Harris,,,,65+,60+,65+,75 or older,45+,60+,65+,Black 60+,Men 65+,Black 60+,Black 65+,Men 45+,Complete,,,,,9.0,,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,Favorable,Only Harris,,,Unfavorable,,Against their opponent,Rural men,4.0,,,The state of democracy,No,,,,65+,,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Cares about people like me,Black,Black,National questionnaire,Black,Black,Non-white,Black,South,Male,Black men,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Version 1,Joe Biden,Early in-person,,28315.0
23285.0,0.042773213,Kamala Harris,,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,,11.0,,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,Favorable,Only Harris,,,Unfavorable,,For your candidate,Urban men,5.0,,,The state of democracy,No,,,,65+,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Has good judgment,White,White,National questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Version 1,Joe Biden,Early in-person,,28806.0
23828.0,0.073841427,Kamala Harris,,,,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Non-Black 30-44,Women 30-44,White 30-44,White 30-44,Women 18-44,Complete,,,Yes,Call 1,13.0,Accept the results,,Somewhat threatened,Somewhat threatened or Very threatened,Election day,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,Unfavorable,Neither,,,Unfavorable,About the same,Against their opponent,Suburban women,2.0,,Yes,Abortion,No,,,,18-64,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,152.0,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Election day exit poll,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",Version 1,Joe Biden,Election day,White Born-again/Evangelical Christians,27518.0
24017.0,0.075266357,Kamala Harris,,Legal,Legal in most cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Non-Black 30-44,Women 30-44,White 30-44,White 30-44,Women 18-44,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,Call 1,13.0,,Yes,,,Election day,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,Omit,,,Omit,Omit,,,,Suburban women,2.0,Kamala Harris,,,No,Not so good,Not so good or poor,No,18-64,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,76.0,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Election day exit poll,In September,Before that,Before that,,,Version 2,Did not vote,Election day,,27504.0
32470.0,0.034633786,Kamala Harris,,,,30-44,30-59,18-34,30-34,18-44,30-44,30-39,Black 30-44,Women 30-44,Black 30-44,Black 30-44,Women 18-44,Complete,,,Yes,Call 2,7.0,Omit,,Omit,Omit,Election day,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,Omit,Omit,,,Omit,About the same,Omit,Rural women,1.0,,No,Abortion,No,,,,18-64,,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,,112.0,,,Omit,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Female,Black women,Rural,Small Cities/Rural, North Carolina,Other,Election day exit poll,,,,Omit,Omit,Version 1,Joe Biden,Election day,All others,28358.0
32513.0,0.126677026,Kamala Harris,,Legal,Legal in most cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Non-Black 30-44,Women 30-44,White 30-44,White 30-44,Women 18-44,Complete,Omit,Omit,,Call 2,14.0,,,,,Election day,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,Omit,Yes,Omit,Omit,Omit,,,Omit,Omit,,,,Urban women,3.0,Omit,,,No,Not so good,Not so good or poor,Yes,18-64,,,,,,,,,92.0,,,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities over 500,000","Cities over 50,000", North Carolina,Other,Election day exit poll,Before that,Before that,Before that,,,Version 2,Omit,Election day,,28217.0
33038.0,0.061862757,Kamala Harris,,Legal,Legal in all cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,Call 2,13.0,,No,,,Election day,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,Only Stein,,,Unfavorable,Favorable,,,,Suburban women,2.0,Kamala Harris,,,No,Good,Excellent or good,No,18-64,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,154.0,Liberal Democrats,Liberal Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Election day exit poll,Before that,Before that,Before that,,,Version 2,Joe Biden,Election day,,27502.0
33296.0,0.034817132,Kamala Harris,,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,No,Call 2,10.0,Accept the results,,Very secure,Very secure or Somewhat secure,Election day,,,,,,,,,,,,Favorable,Only Harris,,,Unfavorable,Better today,For your candidate,Rural women,5.0,,Omit,The economy,No,,,,65+,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,26.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has the ability to lead,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 10,000-50,000",Small Cities/Rural, North Carolina,Other,Election day exit poll,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Version 1,Joe Biden,Election day,All others,28601.0
36061.0,0.142433662,Kamala Harris,,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Black 45-59,Men 45-64,Black 45-59,Black 45-64,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,Call 3,3.0,,Yes,,,Election day,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Omit,Omit,Yes,Somewhat confident,Very confident or Somewhat confident,Only Stein,,,Unfavorable,Favorable,,,,Rural men,1.0,Donald Trump,,,No,Good,Excellent or good,No,18-64,Men with children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,124.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Male,Black men,Rural,Small Cities/Rural, North Carolina,Other,Election day exit poll,Before that,Before that,Before that,,,Version 2,Joe Biden,Election day,,28382.0
